category,jahr,anzahl,name
- bestanden,2014,16272,Rheinland-Pfalz
- bestanden,2014,3565,Saarland
- bestanden,2014,8706,Sachsen
- bestanden,2014,4494,Sachsen-Anhalt
- bestanden,2014,12104,Schleswig-Holstein
- bestanden,2014,5622,Thüringen
- bestanden,2015,51101,Baden-Württemberg
- bestanden,2015,42032,Bayern
- bestanden,2015,15876,Berlin
- bestanden,2015,8062,Brandenburg
- bestanden,2015,3235,Bremen
- bestanden,2015,9451,Hamburg
- bestanden,2015,25574,Hessen
- bestanden,2015,4092,Mecklenburg-Vorpommern
- bestanden,2015,33770,Niedersachsen
- bestanden,2015,86347,Nordrhein-Westfalen
- bestanden,2015,16969,Rheinland-Pfalz
- bestanden,2015,3875,Saarland
- bestanden,2015,11037,Sachsen
- bestanden,2015,5157,Sachsen-Anhalt
- bestanden,2015,12751,Schleswig-Holstein
- bestanden,2015,6234,Thüringen
- bestanden,2016,51197,Baden-Württemberg
- bestanden,2016,42495,Bayern
- bestanden,2016,16493,Berlin
- bestanden,2016,8597,Brandenburg
- bestanden,2016,3138,Bremen
- bestanden,2016,9768,Hamburg
- bestanden,2016,24486,Hessen
- bestanden,2016,4941,Mecklenburg-Vorpommern
- bestanden,2016,33421,Niedersachsen
- bestanden,2016,87071,Nordrhein-Westfalen
- bestanden,2016,18560,Rheinland-Pfalz
- bestanden,2016,3727,Saarland
- bestanden,2016,11496,Sachsen
- bestanden,2016,5541,Sachsen-Anhalt
- bestanden,2016,19859,Schleswig-Holstein
- bestanden,2016,6698,Thüringen
- bestanden,2017,50150,Baden-Württemberg
- bestanden,2017,43342,Bayern
- bestanden,2017,17402,Berlin
- bestanden,2017,9735,Brandenburg
- bestanden,2017,2839,Bremen
- bestanden,2017,9311,Hamburg
- bestanden,2017,24408,Hessen
- bestanden,2017,4949,Mecklenburg-Vorpommern
- bestanden,2017,32699,Niedersachsen
- bestanden,2017,84040,Nordrhein-Westfalen
- bestanden,2017,17977,Rheinland-Pfalz
- bestanden,2017,3460,Saarland
- bestanden,2017,12380,Sachsen
- bestanden,2017,5579,Sachsen-Anhalt
- bestanden,2017,14009,Schleswig-Holstein
- bestanden,2017,6608,Thüringen
- bestanden,2018,49339,Baden-Württemberg
- bestanden,2018,42291,Bayern
- bestanden,2018,16522,Berlin
- bestanden,2018,9733,Brandenburg
- bestanden,2018,2699,Bremen
- bestanden,2018,9218,Hamburg
- bestanden,2018,24081,Hessen
- bestanden,2018,5223,Mecklenburg-Vorpommern
- bestanden,2018,32095,Niedersachsen
- bestanden,2018,82612,Nordrhein-Westfalen
- bestanden,2018,17375,Rheinland-Pfalz
- bestanden,2018,3533,Saarland
- bestanden,2018,12247,Sachsen
- bestanden,2018,5930,Sachsen-Anhalt
- bestanden,2018,12909,Schleswig-Holstein
- bestanden,2018,6587,Thüringen
- bestanden,2019,47436,Baden-Württemberg
- bestanden,2019,41392,Bayern
- bestanden,2019,14409,Berlin
- bestanden,2019,9332,Brandenburg
- bestanden,2019,2583,Bremen
- bestanden,2019,9015,Hamburg
- bestanden,2019,22232,Hessen
- bestanden,2019,5024,Mecklenburg-Vorpommern
- bestanden,2019,32414,Niedersachsen
- bestanden,2019,81898,Nordrhein-Westfalen
- bestanden,2019,17001,Rheinland-Pfalz
- bestanden,2019,3211,Saarland
- bestanden,2019,12660,Sachsen
- bestanden,2019,5675,Sachsen-Anhalt
- bestanden,2019,13296,Schleswig-Holstein
- bestanden,2019,6799,Thüringen
