name,address,lat,lon
Naturhof Wolfsberg,"Raiffeisenstraße 51, 53347 Alfter",50.699782745215366,7.015748519235999
Hof Falkenhusen,"Absalonshorster Weg, 23562 Lübeck",53.824747596896025,10.750586599085654
Gut Wallenburg,"Wallenburg 79e, 83714 Miesbach",47.805036560211825,11.828780854314086
Bioland Apfelbacher,"Tomberstraße 1, 53332 Bornheim",50.74961175640095,6.96425916931709
Ursula‘s Bio Gemüsehof und Hofladen,"Untere Dorfstraße 4, 90427 Nürnberg",49.52062913097228,11.052424154468971
StadtLandGemüse in Köln-Ehrenfeld,"Senefelder Straße 3, 50825 Köln",50.95219556937057,6.914705008585126
Gut Wulfsdorf,"Bornkampsweg 39, 22926 Ahrensburg",53.65971211096821,10.190508144934975
Klostergut Heiningen,"Gutshof 2, 38312 Heiningen",52.07264090729994,10.555867154630432
Obsthof Wenz Söllingen,"Obsthof 1, 76327 Pfinztal",48.985281857179835,8.527903325600494
"Vulkanhof, Gillenfeld, Eifel","Vulkanstraße 29, 54558 Gillenfeld",50.12866791633761,6.914175038634181
Käse-Hof-Laden Pilsum,"Tjücher Weg 1, 26736 Krummhörn",53.475758295185045,7.077217708697325
Biohof Meyer Arend,"Im Barrenholze 60, 32051 Herford",52.12194823364066,8.630492893888267
Obsthof Lamb,"Alsenzstraße 2, 67822 Mannweiler-Cölln",49.70048326006015,7.80323666756507
Johanneshof,"Seewaldsiedlung 5, 68766 Hockenheim",49.34946924548393,8.505402794531058
Bauckhof,"Triangel 6, 21385 Amelinghausen",53.132410507370544,10.217954494778155
Gemüsehof Steiger,"Dahlienstraße 100, 53332 Bornheim",50.773169592749674,6.955017081128225
Meyerhof,"Belmer Str. 11, 49191 Belm",52.30039900768899,8.140579867734274
Kökelsumer Hofladen,"Kökelsum 2, 59399 Olfen",51.726748940513026,7.3618205767054645
Hofladen Wünnerhof,"Felderbachstraße 32, 45529 Hattingen",51.35025427063261,7.168013829285529
"Gut zur Linden, Wuppertal","Gruitener Straße 308, 42327 Wuppertal",51.22175540007236,7.044281494651569
Wendler's Hofladen,"Sebastianstraße 15, 91058 Erlangen",49.54708455506421,11.03148265206196
Regionalladen Landwirtschaftsbetrieb Wolfgramm,"Zum alten Mischplatz3, 17498 Levenhagen",54.08696067611019,13.272278298877822
Ammersee Biohof,"Schondorfer Straße 22, 86919 Utting am Ammersee",48.03750477792303,11.089279996707152
Der Hofladen Hörger,"Schmiedstraße 8, 85635 Höhenkirchen-Siegertsbrunn",48.02139727759113,11.726951495584
Der Marienhof,"Dorfstraße 20, 25852 Bordelum",54.63269856241488,8.936067292455162
Hof Schmidt - Bunte Bentheimer,"Huntloser Straße 298, 26203 Wardenburg",53.02735746683514,8.227850583527708
Grasfresser,"Birkenhof, 67578 Gimbsheim",49.77804716105127,8.387501935298848
Eibl Hofladen,"Wattsmannstraße 77, 84034 Landshut",48.538265136199335,12.118791921298529
Warzlberger Hof,"Warzlberg 1, 84095 Furth",48.583739454737746,11.976137930711948
Bioland Gärtnerei Sebastian Niedermaier,"Mittelstraße 42, 96052 Bamberg",49.89963721292253,10.891994939763602
Köstlichkeiten und Kultur Hofladen Loburg,"Sirksfeld 1, 48653 Coesfeld",51.94886214208683,7.139740991759996
Glasers Hofmarkt,"Schafwiesen 1, 71706 Markgröningen",48.893924702707864,9.079149267924139
Haug's Hof,"Stubenberghöfe 3, 71263 Weil der Stadt",48.73207567482726,8.903536435850848
Hof am Hochwald,"Am Hochwald 5, 47589 Uedem",51.68219672598183,6.330339166570912
Bauerngut Schiefelbusch,"Schiefelbusch 3, 53797 Lohmar",50.89945126716103,7.22813428331487
Bobbert,"Alleestraße 3, 33649 Bielefeld",52.00097646155799,8.483499841131946
Dollingerhof Solawi Dollinger,"Offenbau-Tunnel 24, 91177 Thalmässing",49.12228188556706,11.270842912115025
Hofladen Buchberghof Tegernsee,"Buchbergweg 1, 83707 Bad Wiessee",47.741294561413234,11.705872915341455
Hofladen & Gärtnerei Findeisen,"Kaditzerstraße 3, 01445 Radebeul",51.09751373404863,13.675200969909527
Kreuzegertenhof,"Kreuzegertenhof 1, 79400 Kandern",47.71332483088683,7.650622019728601
Lammertzhof,"Lammertzhof, 41564 Kaarst",51.20696957637561,6.601528269916488
Mertens Wiesbrock,"Schulstraße 123a, 33397 Rietberg",51.84889810628553,8.437521154616084
Bauernladen Lörrach Obst- und Gemüsehof Schopferer,"Alte Rheinfelder Str. 10,79539 Lörrach",47.60803540407108,7.680867281339734
Hoflädle Ritz,"Hemminger Str. 201, 70499 Stuttgart",48.83233823374295,9.093897985109367
Elli´s Hofladen Gottschalk Obst,"Binger Str. 53, 55218 Ingelheim am Rhein",49.975055953554275,8.059008200063731
Bioland Hofladen Familie Bräuchler,"Häberlings 4, 88317 Aichstetten",47.903178286309455,10.028065166016109
Obersteinberger Hof,"Hof Obersteinberg, 35415 Pohlheim",50.52080858612656,8.701360668025474
Kölner Bio Bauer,"Poll-Vingster- Str. 215, 51106 Köln",50.926249570902534,7.017163912227936
Domäne Mechtildshausen,"Mechthildhausen 1, 65205 Wiesbaden",50.0377781576729,8.323108172522682
Biohof - Eilte,"Großer Garten 6, 29693 Ahlden (Aller)",52.76126724034709,9.498392373732868
Kattendorfer Hofladen,"Dorfstraße 1a, 24568 Kattendorf",53.84530740420227,10.023423741365706
Hofladen Demeter Hof Wörme,"Im Dorfe 28, 21256 Handeloh",53.26311874670909,9.866645916382321
Hofladen Falkensee,"Dallgower Straße 1, 14624 Dallgow-Döberitz",52.543973223487015,13.091191739146002
Der Landladen,"Dorfstraße 12, 31275 Lehrte",52.409316811713445,9.987828322607823
Schlossgut Obbach,"Dr.-Georg-Schäfer-Straße 5, 97502 Euerbach",50.07471431029154,10.09318136351334
Bauer Meins,"Kronsforder Hauptstraße 69, 23560 Lübeck",53.79802426185413,10.621909590723318
Waidhof Ihringen,"Waidweg 1, 79241 Ihringen",48.03716656459212,7.650329469908753
"Nöhrenhof
Der Landladen","Im Jägerwinkel 2, 31275 Lehrte",52.37044272043593,9.98483758331237
Farmers Market Jörn Meyer Gemüsebau,"Kremper Rhin 6, 25348 Blomesche Wildnis",53.79892147816242,9.452442213664275
"Brünings Scheune, Fischerhude","Landstraße 22, 28870 Ottersberg",53.1164341373176,9.054499154432081
Bioland Gärtnerei Neiteler,"Baumberg 68, 48301 Nottuln",51.96913855295086,7.359372342413854
Gut Wulksfelde,"Wulksfekder Damm 15-17, 22889 Tangstedt",53.717867342291505,10.111963582693466
Obsthof Mertens,"Rethelstraße 123, 40237 Düsseldorf",51.237340988377476,6.7987523348737815
Hof Wittschap,"Rendsburger Landstraße 510, 24111 Kiel",54.30349075510914,10.04681200858434
Hofladen Seibt,"Fischeiner Straße 80, 40668 Meerbusch",51.297754935712106,6.622398353897798
Gärtnerei Pummerer,"Tinning 11a, 83083 Riedering",47.82541495670725,12.21665357325435
Marienhof Gerlfangen,"Lommerweg, 66780 Rehlingen-Siersburg",49.386434134914296,6.625276537729732
"Hoftalente, Hannover Seelhorster Straße","Seelhorster Straße 12, 30175 Hannover",52.37638906788959,9.756267912320826
Hof Erbenheim,"Oberfeld 30, 65205 Wiesbaden",50.0649230773144,8.316631931210193
Biokiste Ortlieb,"Uhlbacher Str. 201, 70329 Stuttgart",48.7751918135128,9.27684289417116
Bauern- & Hofladen Wulhorst,"Tinkhofstraße 184, 45731 Waltrop",51.6114652523555,7.4312594539756365
Demeter Hof Breit Wittlich,"Hinter der Breit, 54516 Wittlich",49.968202802495995,6.857446404216327
Hofgut Oberfeld,"Erbacher Str. 125, 64287 Darmstadt",49.873045053873085,8.684120652235489
Hof Neuerer,"Schwalbacher Str 4, 65388 Schlangenbad",50.10816191185933,8.09904914101171
Hofladen Medelby,"Norderfeldweg 1, 24994 Medelby",54.819081818001415,9.169609887778716
Gut Bollheim,"Haus Bollheim 1, 53909 Zülpich",50.6980968785207,6.712017868756
Gartenbau Linke-Hof Reinhard Sommer,"Brandiser Str. 79, 04316 Leipzig",51.32342244713506,12.485773168076328
Buchholzhof,"Am Buchholz 13, 45470 Mülheim an der Ruhr",51.39111241431924,6.943608724683736
Irenes Brotlädle,"Schwärzloch 1, 72070 Tübingen",48.517399192072126,9.02349766974855
Dottenfelder Hof,"Dottenfelder Hof 1, 61118 Bad Vilbel",50.193214049791756,8.753713825675577
Geflügelhof Gut Holz,"Unterdüssel 17, 42489 Wülfrath",51.275389482911784,7.054566271768386
Kochs,"Kastanienallee1, 31515 Wunsdorf",52.44900048854593,9.454576410396584
Gärtnerhof Röllingsen,"Am Eichkamp 3, 59494 Soest",51.5396154987709,8.026058996925498
Luisenhof,"Luisenhof 29, 75038 Flehingen",49.10700899498208,8.78217945444338
Mandt,"Taubenreiherweg 4, 53347 Alfter",50.74248427888472,7.005981212216283
derr HOF,"Holzbronn 1, 97999 Igersheim",49.52221401805899,9.813842117682439
Krusehof Eschede,"Hermannsburger Straße 50, 29348 Eschede",52.75193017324087,10.221474316040204
Bioarche Gerstner,"Eysölden F 1, 91177 Thalmässing",49.12757227489953,11.211058727456807
Hofladen Strouchs Hoob,"Hörlestraße 9, 35239 Steffenberg",50.840507348289535,8.440152903431166
Mailuster Hoflädchen,"Mailust 4, 56070 Koblenz",50.38879499288661,7.551425325687891
Jegglhof,"Burgselbergweg 4a, 86916 Kaufering",48.089197137810096,10.88194145438099
Schlicksupp,"Wiesenweg 35, 69121 Heidelberg",49.432910520344635,8.678217479104546
Hofladen Kormann,"Zum Steig 2, 91320 Ebermannstadt",49.76803049400244,11.261183585167322
Domäne Fredeburg,"Am Wildgehege 5, 23909 Fredeburg",53.67323193305082,10.724056270855655
Linckh Hofladen,"Hintere Gärten 4, 73553 Alfdorf",48.85652897361939,9.743190439691114
Steinäckerhof Schupp Gaildorf-Unterrot,"Steinäckerhof 1, 74405 Gaildorf",48.97745421318982,9.770190863375742
Hunsrücker Bio Gemüse,"Im Gässchen 4, 55471 Neuerkirch",50.015148906505964,7.4921045249901415
Bauer Grundhöfer,"Oberkirch 10, 54294 Trier",49.714222096922704,6.587818269822459
Hof Mertin,"Bönninghauserstraße 5, 44329 Dortmund",51.56335005134628,7.55306271069616
Irlenhof,"Irlenweg 3, 57223 Kreuztal",50.964192672126316,8.009033012230336
Hof Hinrichs,"Schmedeswurth 10, 25724 Schmedeswurth",53.92616706017631,9.041418645833403
Reisach Früchtegarten,"Alpenweg 16, 87665 Mauerstätten",47.886184440449775,10.667477279772267
Erdfrüchte,"Landschulheimweg 14, 26209 Hatten",53.04067925260051,8.255650709494772
Querfeldein,"Haft 4a, 77833 Ottersweier",48.66126166656154,8.113466010250546
Hofpunkt,"Obergrieser Straße, 83661 Lenggries",47.69468202196946,11.570091960211036
Biohof Baiersbach Familie Alber,"Am Baiersbach 24, 72631 Aichtal",48.618969592520976,9.246453118272177
Milchtankstelle Seehof in Lorsch,"Seehof 5, 64653 Lorsch",49.62262115457811,8.574085204253374
Stein‘s Kräuter&Garten,"Mainzer Straße 180, 55124 Mainz",50.00120932520593,8.22436704067397
Gut Rothenhausen,"Gut Rothenhausen 4, 23860 Groß Schenkenberg",53.80519651675551,10.600413389188866
Bauer Weiss,"Breite 75, 39261 Zerbst/Anhalt",51.96507846047376,12.092070347360016
Bannmühle (Odernheim),"Staudernheimer Straße 1, 55571 Odernheim am Glan",49.76814311478916,7.7045650019167375
Obergrashof,"Obergrashof 1, 85221 Dachau",48.25530932387723,11.491276424822416
Sulzburghof Lenningen,"Max-Leuze- Straße 10-16, 73252 Lenningen",48.56461051200281,9.454817462033615
Wittfelder Hof,"Wittfelder Hof 1, 53343 Wachtberg",50.6375259280704,7.111185540538865
Hofladen der Lebenshilfe Worms,Pipinstraße 4A67549 Worms,49.643605097755845,8.333026827124817
Adam's Hofladen – Pehlinger Hof,"Pehlinger Hof, 66780 Rehlingen-Siersburg",49.39261001392762,6.59682065934698
Hof Mahlitzsch,"Mahlitzsch 1, 01683 Nossen",51.078329747223655,13.367613563718033
Biolandhof Böse-Hartje,"Groß Eißel 26, 27321 Thedinghausen",52.979751979944155,9.00959510804153
Et Höffken,"Hohenscheid 1, 42659 Solingen",51.13976026301856,7.094329077668904
Milchschafhof Pimpinelle,"Lindenstraße 20, 15320 Neuhardenberg",52.61960366139705,14.265717293418788
Gut Altenoythe,"Vitusstraße 9, 26169 Friesoythe",53.033585167796105,7.869371433596619
Weilerhof,"Uhlandstraße 9, 63762 Großostheim",49.92739107636414,9.06901616151751
Mittelhammshof,"Margrefstraße 15, 45239 Essen",51.38661512265011,7.05241620778983
Radis&Bona,"Rilkestraße 5a, 93049 Regensburg",49.019514607645675,12.070190985029514
Biolandhof Petrik,"Am Heulenberg 1, 76327 Pfinztal",49.000815085401406,8.54553215961207
Dannwisch,"Dannwisch 1, 25358 Horst",53.79606447912661,9.612942241876965
Hofladen Eltersdorf in Erlangen,"Weinstraße 30, 91058 Erlangen",49.552540119539536,11.000695029452189
Meyerhof Belm,"Belmer Straße 11, 49191 Belm",52.30027883119101,8.14064044867566
Birgit's Hofladen,"Escherhäuser Straße 19, 37632 Eimen",51.886217958990095,9.751793319350934
HelDenHof,"Grenzhöfer Straße 30, 68535 Edingen-Neckarhausen",49.444891035195084,8.611606316906423
Baldenweger Hof,"Wittentalstraße 1, 79252 Stegen",47.98695901738759,7.947286515861109
Tristan‘s Biohof,"Gunzendorf 10, 91448 Emskirchen",49.555394960232235,10.743638686302358
Hochladen Löstrup,"Löstrup 6, 24966 Sörup",54.72527076082993,9.687052871417816
Zehetmair Hof,"Kanalstraße 2, 85774 Unterföhring",48.192458971836935,11.639945767657348
Obstbau Geibel,"Donnersbergring 45, 64295 Darmstadt",49.85831503616986,8.643985317391007
Hofladen Meinsen - Bückeburg,"Meinser Straße 36, 31675 Bückeburg",52.29713814756762,9.052361110752761
Lohmanns Landladen,"Eichenstraße 24, 27313 Dörverden",52.836961302478784,9.302648197828912
Hofladen Heitinger,"Halbinselstraße 6, 88142 Wasserburg (Bodensee)",47.56989315570411,9.637099802031146
Elbweiderind Hofladen Leipzig,"Zum Rosengarten 1, 04288 Leipzig",51.275535612150364,12.47024600196224
Hofladen Merlau,"Römerstraße 1A, 64291 Darmstadt",49.912636954221405,8.654933107808496
Gärtnerei Fritsche,"Roseggerstraße 14, 02763 Zittau",50.90594170603275,14.814597178939334
Niemöller Visbek,"Hogenbögen 21, 49429 Visbek",52.83200270902054,8.34762567354329
St. Töniser Obsthof,"Düsseldorfer Straße 4, 47918 Tönisvorst",51.32262899587984,6.471763767906222
Biolandhof Mack,"Knillweg 9, 89555 Steinheim am Albuch",48.679441635556074,10.073634894735768
Naturmilchhof Gartetal,"Schwarze G. 6, 37130 Gleichen",51.486017033627014,9.97988389998786
Westerhäuser Käsehof,"Unter dem Mühlenberg 410, 06502 Thale",51.80240380863521,11.049979340037728
Wünsche Manufaktur,"Ochsenwangerstraße 11, 73252 Lenningen",48.540695372356964,9.532055369652078
Obstbau Robert Rüdiger,"Pillnitzer Landstraße 301, 01326 Dresden",51.01910250646633,13.857623439052261
Hof Vierwindenberg,"Grubenweg 60, 56170 Bendorf",50.41822818691197,7.592165273953324
Gärtnerei Löwenzahn,"Buchweg 21, 84934 Reichling",47.927449208203804,10.920877191439331
Rellinger Hofladen,"Pinneberger Straße 38, 25462 Rellingen",53.65048774068448,9.852352854436255
Biohof Braun,"Hohbergstraße 14, 71665 Vaihingen an der Enz",48.916229417134254,8.935187697866338
Burtschützer Hof,"Burtschützer Straße 11, 06729 Elsteraue",51.05038528263824,12.175874412066758
"Hofladen Kiliansroda, Direktvermarktung Siegfried Hoffmann","Im Dorfe 26, 99441 Kiliansroda",50.91613496105924,11.371466659931594
Obsthof Riess,"Geiteldestraße 75, 38122 Braunschweig",52.21407543012159,10.46306092932777
Duventäster-Maier Gemüse und Bunte Vielfalt,"Dorfstraße 40, 78345 Moos",47.72449014872472,8.934739157519836
Knödlers Obstgarten,"Heidenhof 22, 71397 Leutenbach",48.91232876014132,9.380344450703078
Kampfelder Hof,"Hauptstraße 31, 30966 Hemmingen",52.28232815883104,9.713114524215625
Singer's Bauernladen,"Heroldsbacher Straße 42, 91353 Hausen",49.69328071823935,11.027761678693741
Hof Eggers in der Ohe,"Kirchwerder Mühlendamm 5, 21037 Hamburg",53.41011623456569,10.21982755638988
Biotal Hofladen & Café,"Talstraße 19, 89542 Herbrechtingen",48.60025350675122,10.179611320120106
Gut Kleinepähler,"Neuenkirchener Str. 204, 33397 Rietberg",51.81818122943941,8.471979272209364
Johannshof,"Westerender Weg 4, 26629 Großefehn",53.34907710107592,7.678853829959402
Schrot und Kern,"Springstrasse 19
37077 Göttingen – Weende",51.5642075579602,9.937200658576877
Weiler Hofladen,"Weilstraße 134, 73734 Esslingen am Neckar",48.73817873881208,9.282727089250656
Allerleirauh,"Raunstraße 2, 61209 Echzell",50.3717567925754,8.895643721970542
