Partei,Nachname,Vornamen,Geburtsjahr,Typ,Wahlkreis,Survivor,ID
FDP,Bauer,Nicole Anna Elisabeth,1987,Liste,Bayern,TRUE,BauerN1987
AfD,Baum,Christina,1956,Liste,Baden-Württemberg,TRUE,BaumC1956
AfD,Baumann,Bernd,1958,Liste,Hamburg,TRUE,BaumannB1958
GRÜNE,Bayram,Canan,1966,Wahlkreis,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,TRUE,BayramC1966
GRÜNE,Beck,Katharina Barbara Maria,1982,Liste,Hamburg,TRUE,BeckK1982
AfD,Beckamp,Roger Friedrich Nikolaus,1975,Liste,Nordrhein-Westfalen,TRUE,BeckampR1975
SPD,Becker,Holger,1964,Wahlkreis,Jena – Sömmerda – Weimarer Land I,TRUE,BeckerH1964
FDP,Beeck,Jens,1969,Liste,Niedersachsen,TRUE,BeeckJ1969
FDP,Beek,Olaf Karl Wilhelm,1967,Liste,Nordrhein-Westfalen,FALSE,BeekO1967
GRÜNE,Benner,Lukas,1996,Liste,Nordrhein-Westfalen,FALSE,BennerL1996
SPD,Berghahn,Jürgen,1960,Wahlkreis,Lippe I,TRUE,BerghahnJ1960
CDU,Berghegger,André,1972,Wahlkreis,Osnabrück-Land,TRUE,BergheggerA1972
SPD,Bergt,Bengt Axel,1982,Wahlkreis,Segeberg – Stormarn-Mitte,TRUE,BergtB1982
AfD,Bernhard,Marc Albert,1972,Liste,Baden-Württemberg,TRUE,BernhardM1972
CDU,Beyer,Peter,1970,Wahlkreis,Mettmann II,TRUE,BeyerP1970
CDU,Biadacz,Marc Josef,1979,Wahlkreis,Böblingen,FALSE,BiadaczM1979
CDU,Bilger,Steffen Rudi,1979,Wahlkreis,Ludwigsburg,FALSE,BilgerS1979
DIE LINKE,Birkwald,Matthias Walter,1961,Liste,Nordrhein-Westfalen,TRUE,BirkwaldM1961
SPD,Blankenburg,Jakob,1997,Wahlkreis,Lüchow-Dannenberg – Lüneburg,FALSE,BlankenburgJ1997
AfD,Bleck,Andreas,1988,Liste,Rheinland-Pfalz,TRUE,BleckA1988
AfD,Bochmann,René,1969,Wahlkreis,Nordsachsen,TRUE,BochmannR1969
FDP,Bodtke,Ingo,1965,Liste,Sachsen-Anhalt,TRUE,BodtkeI1965
AfD,Boehringer,Peter Christian Pascal,1969,Liste,Bayern,TRUE,BoehringerP1969
FDP,Boginski,Friedhelm Günter,1955,Liste,Brandenburg,TRUE,BoginskiF1955
AfD,Bollmann,Gereon,1953,Liste,Schleswig-Holstein,TRUE,BollmannG1953
CDU,Borchardt,Simone,1967,Liste,Mecklenburg-Vorpommern,FALSE,BorchardtS1967
CDU,Brand,Michael Karl,1973,Wahlkreis,Fulda,TRUE,BrandM1973
FDP,Brandenburg,Jens,1986,Liste,Baden-Württemberg,TRUE,BrandenburgJ1986
FDP,Brandenburg,Mario,1983,Liste,Rheinland-Pfalz,TRUE,BrandenburgM1983
AfD,Brandes,Dirk,1974,Liste,Niedersachsen,FALSE,BrandesD1974
CSU,Brandl,Reinhard,1977,Wahlkreis,Ingolstadt,TRUE,BrandlR1977
AfD,Brandner,Stephan Günther,1966,Wahlkreis,Gera – Greiz – Altenburger Land,TRUE,BrandnerS1966
GRÜNE,Brantner,Franziska Katharina,1979,Wahlkreis,Heidelberg,TRUE,BrantnerF1979
CDU,Braun,Helge Reinhold,1972,Liste,Hessen,TRUE,BraunH1972
AfD,Braun,Jürgen Friedrich,1961,Liste,Baden-Württemberg,FALSE,BraunJ1961
CDU,Breher,Silvia Maria,1973,Wahlkreis,Cloppenburg – Vechta,TRUE,BreherS1973
CSU,Brehm,Sebastian,1971,Wahlkreis,Nürnberg-Nord,FALSE,BrehmS1971
CDU,Brehmer,Heike Martina,1962,Wahlkreis,Harz,TRUE,BrehmerH1962
CDU,Breilmann,Michael,1983,Liste,Nordrhein-Westfalen,FALSE,BreilmannM1983
SPD,Breymaier,Leni,1960,Liste,Baden-Württemberg,TRUE,BreymaierL1960
CDU,Brinkhaus,Ralph,1968,Wahlkreis,Gütersloh I,TRUE,BrinkhausR1968
CDU,Brodesser,Carsten,1967,Wahlkreis,Oberbergischer Kreis,TRUE,BrodesserC1967
GRÜNE,Brugger,Agnes Monika,1985,Liste,Baden-Württemberg,TRUE,BruggerA1985
CDU,Bröhr,Marlon,1974,Wahlkreis,Mosel/Rhein-Hunsrück,TRUE,BröhrM1974
GRÜNE,Bsirske,Frank,1952,Liste,Niedersachsen,TRUE,BsirskeF1952
FDP,Bubendorfer-Licht,Sandra,1969,Liste,Bayern,TRUE,Bubendorfer-LichtS1969
SPD,Budde,Katrin,1965,Liste,Sachsen-Anhalt,FALSE,BuddeK1965
CDU,Bury,Yannick,1990,Wahlkreis,Emmendingen – Lahr,FALSE,BuryY1990
FDP,Buschmann,Marco,1977,Liste,Nordrhein-Westfalen,TRUE,BuschmannM1977
FDP,Busen,Karlheinz,1951,Liste,Nordrhein-Westfalen,TRUE,BusenK1951
AfD,Bystron,Petr,1972,Liste,Bayern,TRUE,BystronP1972
CSU,Bär,Dorothee Gisela Renate Maria,1978,Wahlkreis,Bad Kissingen,TRUE,BärD1978
GRÜNE,Bär,Karl,1985,Liste,Bayern,TRUE,BärK1985
AfD,Bühl,Marcus,1977,Wahlkreis,Gotha – Ilm-Kreis,TRUE,BühlM1977
SPD,Cademartori Dujisin,Isabel Andrea,1988,Wahlkreis,Mannheim,TRUE,Cademartori DujisinI1988
SPD,Castellucci,Lars,1974,Liste,Baden-Württemberg,TRUE,CastellucciL1974
GRÜNE,Christmann,Anna Maria,1983,Liste,Baden-Württemberg,TRUE,ChristmannA1983
AfD,Chrupalla,Tino,1975,Wahlkreis,Görlitz,TRUE,ChrupallaT1975
CDU,Connemann,Gitta,1964,Wahlkreis,Unterems,TRUE,ConnemannG1964
AfD,Cotar,Joana Eleonora,1973,Liste,Hessen,TRUE,CotarJ1973
SPD,Coße,Jürgen,1969,Liste,Nordrhein-Westfalen,FALSE,CoßeJ1969
FDP,Cronenberg,Carl-Julius,1962,Liste,Nordrhein-Westfalen,TRUE,CronenbergC1962
AfD,Curio,Gottfried,1960,Liste,Berlin,TRUE,CurioG1960
CDU,Czaja,Mario,1975,Wahlkreis,Berlin-Marzahn-Hellersdorf,TRUE,CzajaM1975
DIE LINKE,Dagdelen,Sevim,1975,Liste,Nordrhein-Westfalen,TRUE,DagdelenS1975
GRÜNE,Dahmen,Janosch,1981,Liste,Nordrhein-Westfalen,FALSE,DahmenJ1981
SPD,Daldrup,Bernhard,1956,Liste,Nordrhein-Westfalen,TRUE,DaldrupB1956
CDU,Damerow,Astrid,1958,Wahlkreis,Nordfriesland – Dithmarschen Nord,TRUE,DamerowA1958
GRÜNE,Deligöz,Ekin,1971,Liste,Bayern,TRUE,DeligözE1971
SPD,Demir,Hakan,1984,Wahlkreis,Berlin-Neukölln,TRUE,DemirH1984
GRÜNE,Detzer,Sandra,1980,Liste,Baden-Württemberg,TRUE,DetzerS1980
SPD,Diaby,Karamba,1961,Wahlkreis,Halle,TRUE,DiabyK1961
SPD,Diedenhofen,Martin,1995,Liste,Rheinland-Pfalz,FALSE,DiedenhofenM1995
SPD,Dieren,Jan Ulrich,1991,Wahlkreis,Krefeld II – Wesel II,TRUE,DierenJ1991
AfD,Dietz,Thomas,1967,Wahlkreis,Erzgebirgskreis I,TRUE,DietzT1967
SPD,Dilcher,Esther,1965,Wahlkreis,Waldeck,TRUE,DilcherE1965
SPD,Dittmar,Sabine,1964,Liste,Bayern,TRUE,DittmarS1964
FDP,Djir-Sarai,Bijan,1976,Liste,Nordrhein-Westfalen,TRUE,Djir-SaraiB1976
CSU,Dobrindt,Alexander,1970,Wahlkreis,Weilheim,TRUE,DobrindtA1970
DIE LINKE,Domscheit-Berg,Anke Margarete,1968,Liste,Brandenburg,TRUE,Domscheit-BergA1968
CDU,Donth,Michael,1967,Wahlkreis,Reutlingen,TRUE,DonthM1967
SPD,Droßmann,Falko,1973,Wahlkreis,Hamburg-Mitte,TRUE,DroßmannF1973
GRÜNE,Dröge,Katharina,1984,Liste,Nordrhein-Westfalen,TRUE,DrögeK1984
CSU,Durz,Hansjörg,1971,Wahlkreis,Augsburg-Land,TRUE,DurzH1971
SPD,Döring,Felix Maximilian,1991,Wahlkreis,Gießen,TRUE,DöringF1991
GRÜNE,Düring,Deborah Saskia,1994,Liste,Hessen,FALSE,DüringD1994
FDP,Dürr,Christian,1977,Liste,Niedersachsen,TRUE,DürrC1977
GRÜNE,Ebner,Harald,1964,Liste,Baden-Württemberg,TRUE,EbnerH1964
SPD,Echeverria,Inaki Axel,1980,Wahlkreis,Ennepe-Ruhr-Kreis II,TRUE,EcheverriaI1980
GRÜNE,Eckert,Leon,1995,Liste,Bayern,FALSE,EckertL1995
CSU,Edelhäußer,Ralph,1973,Wahlkreis,Roth,TRUE,EdelhäußerR1973
AfD,Ehrhorn,Thomas Ludwig Walter,1959,Liste,Niedersachsen,TRUE,EhrhornT1959
SPD,Eichwede,Sonja Katharina,1987,Wahlkreis,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,TRUE,EichwedeS1987
GRÜNE,Emmerich,Marcel,1991,Liste,Baden-Württemberg,FALSE,EmmerichM1991
CSU,Engelhard,Alexander,1972,Wahlkreis,Neu-Ulm,TRUE,EngelhardA1972
SPD,Engelhardt,Heike,1961,Liste,Baden-Württemberg,FALSE,EngelhardtH1961
CSU,Englhardt-Kopf,Martina,1981,Wahlkreis,Schwandorf,FALSE,Englhardt-KopfM1981
CSU,Erndl,Thomas Maximilian,1974,Wahlkreis,Deggendorf,TRUE,ErndlT1974
DIE LINKE,Ernst,Klaus Friedrich,1954,Liste,Bayern,TRUE,ErnstK1954
SPD,Esdar,Wiebke,1984,Wahlkreis,Bielefeld – Gütersloh II,TRUE,EsdarW1984
SPD,Esken,Saskia Christina,1961,Liste,Baden-Württemberg,TRUE,EskenS1961
AfD,Espendiller,Michael,1989,Liste,Nordrhein-Westfalen,TRUE,EspendillerM1989
FDP,Faber,Marcus,1984,Liste,Sachsen-Anhalt,TRUE,FaberM1984
SPD,Fahimi,Yasmin,1967,Wahlkreis,Stadt Hannover II,TRUE,FahimiY1967
AfD,Farle,Robert,1950,Wahlkreis,Mansfeld,TRUE,FarleR1950
SPD,Fechner,Johannes,1972,Liste,Baden-Württemberg,TRUE,FechnerJ1972
CDU,Feiler,Uwe Wolfgang Werner,1965,Liste,Brandenburg,TRUE,FeilerU1965
AfD,Felser,Peter,1969,Liste,Bayern,FALSE,FelserP1969
CDU,Ferlemann,Enak Matthias,1963,Liste,Niedersachsen,TRUE,FerlemannE1963
DIE LINKE,Ferschl,Susanne,1973,Liste,Bayern,TRUE,FerschlS1973
GRÜNE,Fester,Emilia Johanna,1998,Liste,Hamburg,FALSE,FesterE1998
SPD,Fiedler,Sebastian,1973,Wahlkreis,Mülheim – Essen I,TRUE,FiedlerS1973
SPD,Franke,Edgar Konrad Hartmut,1960,Wahlkreis,Schwalm-Eder,TRUE,FrankeE1960
CDU,Frei,Thorsten,1973,Wahlkreis,Schwarzwald-Baar,TRUE,FreiT1973
FDP,Fricke,Otto,1965,Liste,Nordrhein-Westfalen,TRUE,FrickeO1965
AfD,Friedhoff,Dietmar,1966,Liste,Niedersachsen,TRUE,FriedhoffD1966
CSU,Friedrich,Hans-Peter,1957,Wahlkreis,Hof,TRUE,FriedrichH1957
CSU,Frieser,Michael,1964,Wahlkreis,Nürnberg-Süd,FALSE,FrieserM1964
AfD,Frohnmaier,Markus-Cornel,1991,Liste,Baden-Württemberg,TRUE,FrohnmaierM1991
AfD,Frömming,Götz,1968,Liste,Berlin,FALSE,FrömmingG1968
SPD,Funke,Fabian,1997,Liste,Sachsen,FALSE,FunkeF1997
FDP,Funke genannt Kaiser,Maximilian Ludwig,1993,Liste,Bayern,TRUE,Funke genannt KaiserM1993
CDU,Färber,Hermann,1963,Wahlkreis,Göppingen,TRUE,FärberH1963
SPD,Fäscher,Ariane,1968,Wahlkreis,Oberhavel – Havelland II,FALSE,FäscherA1968
FDP,Föst,Daniel Wolfgang,1976,Liste,Bayern,TRUE,FöstD1976
GRÜNE,Gambir,Schahina,1991,Liste,Nordrhein-Westfalen,FALSE,GambirS1991
GRÜNE,Ganserer,Markus (Tessa),1977,Liste,Bayern,TRUE,GansererM1977
GRÜNE,Gastel,Matthias,1970,Liste,Baden-Württemberg,TRUE,GastelM1970
AfD,Gauland,Eberhardt Alexander,1941,Liste,Brandenburg,TRUE,GaulandE1941
SPD,Gava,Manuel,1991,Wahlkreis,Stadt Osnabrück,TRUE,GavaM1991
FDP,Gaßner-Herz,Martin Thomas,1985,Liste,Baden-Württemberg,FALSE,Gaßner-HerzM1985
CDU,Gebhart,Thomas,1971,Liste,Rheinland-Pfalz,FALSE,GebhartT1971
GRÜNE,Gehring,Kai,1977,Liste,Nordrhein-Westfalen,TRUE,GehringK1977
CSU,Geissler,Jonas Alexander Tecumseh,1984,Wahlkreis,Coburg,TRUE,GeisslerJ1984
GRÜNE,Gelbhaar,Stefan,1976,Wahlkreis,Berlin-Pankow,TRUE,GelbhaarS1976
SPD,Gerdes,Michael,1960,Wahlkreis,Bottrop – Recklinghausen III,TRUE,GerdesM1960
FDP,Gerschau,Knut,1961,Liste,Niedersachsen,TRUE,GerschauK1961
SPD,Gerster,Martin,1971,Liste,Baden-Württemberg,TRUE,GersterM1971
GRÜNE,Gesenhues,Jan-Niclas,1990,Liste,Nordrhein-Westfalen,TRUE,GesenhuesJ1990
AfD,Glaser,Albrecht Heinz Erhard,1942,Liste,Hessen,FALSE,GlaserA1942
SPD,Glöckner,Angelika,1962,Wahlkreis,Pirmasens,TRUE,GlöcknerA1962
AfD,Gnauck,Hannes,1991,Liste,Brandenburg,FALSE,GnauckH1991
DIE LINKE,Gohlke,Nicole Stephanie,1975,Liste,Bayern,TRUE,GohlkeN1975
AfD,Gottschalk,Kay,1965,Liste,Nordrhein-Westfalen,TRUE,GottschalkK1965
FDP,Graf Lambsdorff,Alexander,1966,Liste,Nordrhein-Westfalen,TRUE,Graf LambsdorffA1966
CDU,Gramling,Fabian Benedikt Meinrad,1987,Wahlkreis,Neckar-Zaber,TRUE,GramlingF1987
GRÜNE,Grau,Armin Jürgen,1959,Liste,Rheinland-Pfalz,TRUE,GrauA1959
SPD,Gremmels,Timon,1976,Wahlkreis,Kassel,TRUE,GremmelsT1976
SPD,Griese,Kerstin,1966,Liste,Nordrhein-Westfalen,TRUE,GrieseK1966
CDU,Grosse-Brömer,Michael,1960,Liste,Niedersachsen,TRUE,Grosse-BrömerM1960
CDU,Grund,Manfred,1955,Wahlkreis,Eichsfeld – Nordhausen – Kyffhäuserkreis,TRUE,GrundM1955
GRÜNE,Grundl,Erhard,1963,Liste,Bayern,TRUE,GrundlE1963
CDU,Grundmann,Oliver Klaus,1971,Wahlkreis,Stade I – Rotenburg II,TRUE,GrundmannO1971
CDU,Gräßle,Ingeborg Gabriele,1961,Wahlkreis,Backnang – Schwäbisch Gmünd,TRUE,GräßleI1961
CDU,Gröhe,Gottfried Hermann,1961,Wahlkreis,Neuss I,TRUE,GröheG1961
SPD,Grötsch,Ulrich Peter,1975,Liste,Bayern,TRUE,GrötschU1975
CDU,Grübel,Markus,1959,Wahlkreis,Esslingen,TRUE,GrübelM1959
CDU,Grütters,Monika,1962,Wahlkreis,Berlin-Reinickendorf,TRUE,GrüttersM1962
GRÜNE,Grützmacher,Sabine,1986,Liste,Nordrhein-Westfalen,FALSE,GrützmacherS1986
CDU,Gutting,Olav Steffen,1970,Wahlkreis,Bruchsal – Schwetzingen,FALSE,GuttingO1970
DIE LINKE,Gysi,Gregor,1948,Wahlkreis,Berlin-Treptow-Köpenick,TRUE,GysiG1948
CDU,Gädechens,Ingo Adolf August,1960,Liste,Schleswig-Holstein,TRUE,GädechensI1960
GRÜNE,Göring-Eckardt,Katrin,1966,Liste,Thüringen,TRUE,Göring-EckardtK1966
DIE LINKE,Görke,Christian,1962,Liste,Brandenburg,TRUE,GörkeC1962
CDU,Güler,Serap,1980,Liste,Nordrhein-Westfalen,FALSE,GülerS1980
CDU,Güntzler,Fritz,1966,Liste,Niedersachsen,FALSE,GüntzlerF1966
DIE LINKE,Gürpinar,Ates Nils,1984,Liste,Bayern,FALSE,GürpinarA1984
CDU,Haase,Christian,1966,Wahlkreis,Höxter – Güterloh III – Lippe II,TRUE,HaaseC1966
GRÜNE,Habeck,Robert,1969,Wahlkreis,Flensburg – Schleswig,TRUE,HabeckR1969
FDP,Hacker,Thomas,1967,Liste,Bayern,FALSE,HackerT1967
SPD,Hagedorn,Bettina,1955,Wahlkreis,Ostholstein – Stormarn-Nord,TRUE,HagedornB1955
SPD,Hagl-Kehl,Rita Andrea,1970,Liste,Bayern,TRUE,Hagl-KehlR1970
DIE LINKE,Hahn,André,1963,Liste,Sachsen,FALSE,HahnA1963
CSU,Hahn,Florian Peter,1974,Wahlkreis,München-Land,TRUE,HahnF1974
SPD,Hakverdi,Metin,1969,Wahlkreis,Hamburg-Bergedorf – Harburg,TRUE,HakverdiM1969
FDP,Hanke,Reginald Karl Heinz,1956,Liste,Thüringen,TRUE,HankeR1956
AfD,Harder-Kühnel,Mariana Iris,1974,Liste,Hessen,TRUE,Harder-KühnelM1974
CDU,Hardt,Jürgen,1963,Liste,Nordrhein-Westfalen,FALSE,HardtJ1963
FDP,Hartewig,Philipp,1994,Liste,Sachsen,TRUE,HartewigP1994
SPD,Hartmann,Sebastian,1977,Liste,Nordrhein-Westfalen,TRUE,HartmannS1977
FDP,Harzer,Ulrike,1968,Liste,Sachsen,TRUE,HarzerU1968
CDU,Hauer,Matthias,1977,Wahlkreis,Essen III,TRUE,HauerM1977
AfD,Haug,Jochen,1973,Liste,Nordrhein-Westfalen,FALSE,HaugJ1973
GRÜNE,Haßelmann,Britta Maria,1961,Liste,Nordrhein-Westfalen,TRUE,HaßelmannB1961
CDU,Heck,Stefan,1982,Liste,Hessen,FALSE,HeckS1982
SPD,Heidenblut,Dirk,1961,Wahlkreis,Essen II,TRUE,HeidenblutD1961
FDP,Heidt,Peter,1965,Liste,Hessen,FALSE,HeidtP1965
CDU,Heil,Mechthild,1961,Wahlkreis,Ahrweiler,TRUE,HeilM1961
SPD,Heil,Wolfgang-Hubertus,1972,Wahlkreis,Gifhorn – Peine,TRUE,HeilW1972
SPD,Heiligenstadt,Frauke,1966,Wahlkreis,Goslar – Northeim – Osterode,TRUE,HeiligenstadtF1966
CDU,Heilmann,Thomas,1964,Wahlkreis,Berlin-Steglitz-Zehlendorf,TRUE,HeilmannT1964
SPD,Heinrich,Gabriela,1963,Liste,Bayern,TRUE,HeinrichG1963
GRÜNE,Heitmann,Linda,1982,Wahlkreis,Hamburg-Altona,TRUE,HeitmannL1982
AfD,Helferich,Matthias,1988,Liste,Nordrhein-Westfalen,TRUE,HelferichM1988
CDU,Helfrich,Mark,1978,Wahlkreis,Steinburg – Dithmarschen Süd,TRUE,HelfrichM1978
FDP,Helling-Plahr,Katrin,1986,Liste,Nordrhein-Westfalen,TRUE,Helling-PlahrK1986
SPD,Hellmich,Wolfgang,1958,Liste,Nordrhein-Westfalen,FALSE,HellmichW1958
GRÜNE,Henneberger,Kathrin,1987,Liste,Nordrhein-Westfalen,FALSE,HennebergerK1987
SPD,Hennig,Anke,1964,Liste,Niedersachsen,FALSE,HennigA1964
DIE LINKE,Hennig-Wellsow,Susanne Marianne,1977,Liste,Thüringen,TRUE,Hennig-WellsowS1977
CDU,Hennrich,Michael,1965,Wahlkreis,Nürtingen,FALSE,HennrichM1965
CDU,Henrichmann,Marc,1976,Wahlkreis,Coesfeld – Steinfurt II,TRUE,HenrichmannM1976
FDP,Herbrand,Markus,1971,Liste,Nordrhein-Westfalen,TRUE,HerbrandM1971
FDP,Herbst,Torsten,1973,Liste,Sachsen,TRUE,HerbstT1973
GRÜNE,Herrmann,Bernhard,1966,Liste,Sachsen,TRUE,HerrmannB1966
SPD,Heselhaus,Nadine,1978,Liste,Nordrhein-Westfalen,TRUE,HeselhausN1978
AfD,Hess,Martin Alexander,1971,Liste,Baden-Württemberg,TRUE,HessM1971
FDP,Hessel,Katja,1972,Liste,Bayern,TRUE,HesselK1972
CDU,Heveling,Ansgar Guido Karl Johannes,1972,Wahlkreis,Krefeld I – Neuss II,TRUE,HevelingA1972
CSU,Hierl,Susanne,1973,Wahlkreis,Amberg,TRUE,HierlS1973
AfD,Hilse,Karsten,1964,Wahlkreis,Bautzen I,TRUE,HilseK1964
CDU,Hirte,Christian,1976,Liste,Thüringen,TRUE,HirteC1976
SPD,Hitschler,Thomas,1982,Wahlkreis,Südpfalz,TRUE,HitschlerT1982
FDP,Hocker,Gero Clemens,1975,Liste,Niedersachsen,TRUE,HockerG1975
CSU,Hoffmann,Alexander,1975,Wahlkreis,Main-Spessart,TRUE,HoffmannA1975
GRÜNE,Hoffmann,Bettina Martha Lieselotte,1960,Liste,Hessen,TRUE,HoffmannB1960
FDP,Hoffmann,Christoph,1957,Liste,Baden-Württemberg,TRUE,HoffmannC1957
GRÜNE,Hofreiter,Anton Gerhard,1970,Liste,Bayern,TRUE,HofreiterA1970
AfD,Holm,Leif-Erik,1970,Liste,Mecklenburg-Vorpommern,TRUE,HolmL1970
CDU,Hoppenstedt,Hendrik,1972,Liste,Niedersachsen,TRUE,HoppenstedtH1972
CDU,Hoppermann,Franziska Christina Brigitte,1982,Liste,Hamburg,TRUE,HoppermannF1982
SPD,Hostert,Jasmina,1982,Liste,Baden-Württemberg,TRUE,HostertJ1982
FDP,Houben,Reinhard Arnold,1960,Liste,Nordrhein-Westfalen,TRUE,HoubenR1960
AfD,Huber,Johannes Josef,1987,Liste,Bayern,TRUE,HuberJ1987
SPD,Hubertz,Verena Ute,1987,Wahlkreis,Trier,TRUE,HubertzV1987
DIE LINKE,Hunko,Andrej Konstantin,1963,Liste,Nordrhein-Westfalen,TRUE,HunkoA1963
AfD,Huy,Rose Gerrit,1953,Liste,Bayern,FALSE,HuyR1953
AfD,Höchst,Nicole,1970,Liste,Rheinland-Pfalz,TRUE,HöchstN1970
FDP,Höferlin,Manuel,1973,Liste,Rheinland-Pfalz,FALSE,HöferlinM1973
GRÜNE,Hönel,Bruno,1996,Liste,Schleswig-Holstein,FALSE,HönelB1996
SPD,Hümpfer,Markus Klaus,1992,Liste,Bayern,FALSE,HümpferM1992
CDU,Hüppe,Hubert Wilhelm,1956,Liste,Nordrhein-Westfalen,FALSE,HüppeH1956
CSU,Irlstorfer,Erich,1970,Wahlkreis,Freising,TRUE,IrlstorferE1970
AfD,Jacobi,Fabian,1973,Liste,Nordrhein-Westfalen,TRUE,JacobiF1973
GRÜNE,Janecek,Dieter Gerald,1976,Liste,Bayern,TRUE,JanecekD1976
AfD,Janich,Steffen,1971,Wahlkreis,Sächsische Schweiz-Osterzgebirge,TRUE,JanichS1971
CDU,Janssen,Anne,1982,Liste,Niedersachsen,TRUE,JanssenA1982
CDU,Jarzombek,Thomas,1973,Wahlkreis,Düsseldorf I,TRUE,JarzombekT1973
FDP,Jensen-Bornhöft,Gyde,1989,Liste,Schleswig-Holstein,TRUE,Jensen-BornhöftG1989
AfD,Jongen,Marc Stephan,1968,Liste,Baden-Württemberg,TRUE,JongenM1968
CDU,Jung,Andreas,1975,Wahlkreis,Konstanz,TRUE,JungA1975
FDP,Jung,Christian,1977,Liste,Baden-Württemberg,TRUE,JungC1977
CDU,Jung,Ingmar Ludwig,1978,Wahlkreis,Wiesbaden,TRUE,JungI1978
SPD,Junge,Frank Michael,1967,Wahlkreis,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,TRUE,JungeF1967
SPD,Juratovic,Josip,1959,Liste,Baden-Württemberg,FALSE,JuratovicJ1959
FDP,Jurisch,Ann-Veruschka,1972,Liste,Baden-Württemberg,FALSE,JurischA1972
SPD,Kaczmarek,Oliver,1970,Wahlkreis,Unna I,TRUE,KaczmarekO1970
GRÜNE,Kaddor,Lamya,1978,Liste,Nordrhein-Westfalen,TRUE,KaddorL1978
SPD,Kaiser,Elisabeth,1987,Liste,Thüringen,FALSE,KaiserE1987
GRÜNE,Kappert-Gonther,Kirsten,1966,Liste,Bremen,TRUE,Kappert-GontherK1966
SPD,Karaahmetoǧlu,Macit,1968,Liste,Baden-Württemberg,TRUE,KaraahmetoǧluM1968
CDU,Karliczek,Anja Maria-Antonia,1971,Wahlkreis,Steinfurt III,TRUE,KarliczekA1971
SPD,Kasper,Carlos,1994,Liste,Sachsen,TRUE,KasperC1994
SPD,Kassautzki,Anna Katharina,1993,Wahlkreis,Vorpommern-Rügen – Vorpommern-Greifswald I,FALSE,KassautzkiA1993
SPD,Katzmarek,Gabriele,1960,Liste,Baden-Württemberg,TRUE,KatzmarekG1960
AfD,Kaufmann,Malte,1976,Liste,Baden-Württemberg,TRUE,KaufmannM1976
AfD,Kaufmann,Michael Heinz,1964,Wahlkreis,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,TRUE,KaufmannM1964
SPD,Keller,Rainer Johannes,1965,Wahlkreis,Wesel I,TRUE,KellerR1965
GRÜNE,Kellner,Michael,1977,Liste,Brandenburg,TRUE,KellnerM1977
CDU,Kemmer,Ronja Helene,1989,Wahlkreis,Ulm,TRUE,KemmerR1989
SPD,Kersten,Franziska,1968,Wahlkreis,Börde – Jerichower Land,TRUE,KerstenF1968
GRÜNE,Keul,Katja,1969,Liste,Niedersachsen,TRUE,KeulK1969
AfD,Keuter,Stefan,1972,Liste,Nordrhein-Westfalen,FALSE,KeuterS1972
GRÜNE,Khan,Misbah,1989,Liste,Rheinland-Pfalz,FALSE,KhanM1989
CDU,Kiesewetter,Roderich,1963,Wahlkreis,Aalen – Heidenheim,TRUE,KiesewetterR1963
CSU,Kießling,Michael,1973,Wahlkreis,Starnberg – Landsberg am Lech,TRUE,KießlingM1973
GRÜNE,Kindler,Sven-Christian,1985,Liste,Niedersachsen,TRUE,KindlerS1985
CDU,Kippels,Georg,1959,Wahlkreis,Rhein-Erft-Kreis I,TRUE,KippelsG1959
DIE LINKE,Kipping,Katja,1978,Liste,Sachsen,TRUE,KippingK1978
SPD,Kiziltepe,Cansel,1975,Liste,Berlin,TRUE,KiziltepeC1975
SPD,Kleebank,Helmut,1964,Wahlkreis,Berlin-Spandau – Charlottenburg Nord,TRUE,KleebankH1964
FDP,Klein,Karsten,1977,Liste,Bayern,TRUE,KleinK1977
CDU,Klein,Ottilie Paola,1984,Liste,Berlin,FALSE,KleinO1984
CDU,Klein,Volkmar,1960,Wahlkreis,Siegen-Wittgenstein,TRUE,KleinV1960
GRÜNE,Klein-Schmeink,Maria Anna,1958,Wahlkreis,Münster,TRUE,Klein-SchmeinkM1958
AfD,Kleinwächter,Norbert,1986,Liste,Brandenburg,TRUE,KleinwächterN1986
SPD,Klinck,Kristian,1979,Wahlkreis,Plön – Neumünster,TRUE,KlinckK1979
SPD,Klingbeil,Lars,1978,Wahlkreis,Rotenburg I – Heidekreis,TRUE,KlingbeilL1978
SPD,Klose,Annika Gisela,1992,Liste,Berlin,FALSE,KloseA1992
FDP,Kluckert,Daniela Kathrin,1980,Liste,Berlin,TRUE,KluckertD1980
CDU,Klöckner,Julia,1972,Liste,Rheinland-Pfalz,TRUE,KlöcknerJ1972
SPD,Klüssendorf,Tim,1991,Wahlkreis,Lübeck,TRUE,KlüssendorfT1991
CDU,Knoerig,Axel,1967,Wahlkreis,Diepholz – Nienburg I,TRUE,KnoerigA1967
FDP,Kober,Pascal Felix Ernst,1971,Liste,Baden-Württemberg,TRUE,KoberP1971
CDU,Koeppen,Jens,1962,Liste,Brandenburg,TRUE,KoeppenJ1962
