Partei,Nachname,Vornamen,Geburtsjahr,Typ,Wahlkreis,Survivor,ID
AfD,Schneider,Jörg,1964,Liste,Nordrhein-Westfalen,TRUE,SchneiderJ1964
CDU,Schnieder,Patrick,1968,Wahlkreis,Bitburg,TRUE,SchniederP1968
SPD,Scholz,Olaf,1958,Wahlkreis,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,TRUE,ScholzO1958
SPD,Schraps,Johannes,1983,Wahlkreis,Hameln-Pyrmont – Holzminden,TRUE,SchrapsJ1983
SPD,Schreider,Christian Willi Heribert,1971,Wahlkreis,Ludwigshafen/Frankenthal,TRUE,SchreiderC1971
CDU,Schreiner,Felix,1986,Wahlkreis,Waldshut,TRUE,SchreinerF1986
SPD,Schrodi,Michael Georg,1977,Liste,Bayern,TRUE,SchrodiM1977
GRÜNE,Schröder,Christina-Johanne,1983,Liste,Niedersachsen,TRUE,SchröderC1983
FDP,Schröder,Ria Irmtraut Claudia,1992,Liste,Hamburg,TRUE,SchröderR1992
FDP,Schulz,Anja,1985,Liste,Niedersachsen,TRUE,SchulzA1985
AfD,Schulz,Uwe,1961,Liste,Hessen,TRUE,SchulzU1961
GRÜNE,Schulz-Asche,Kordula Anna Paula,1956,Liste,Hessen,TRUE,Schulz-AscheK1956
SPD,Schulze,Svenja,1968,Liste,Nordrhein-Westfalen,TRUE,SchulzeS1968
SPD,Schwabe,Frank,1970,Wahlkreis,Recklinghausen I,TRUE,SchwabeF1970
SPD,Schwartze,Stefan,1974,Wahlkreis,Herford – Minden-Lübbecke II,TRUE,SchwartzeS1974
SPD,Schwarz,Andreas,1965,Liste,Bayern,TRUE,SchwarzA1965
CDU,Schwarz,Armin,1968,Liste,Hessen,FALSE,SchwarzA1968
SPD,Schwarzelühr-Sutter,Rita Berta,1962,Liste,Baden-Württemberg,TRUE,Schwarzelühr-SutterR1962
SPD,Schäfer,Axel Helmut,1952,Wahlkreis,Bochum I,TRUE,SchäferA1952
SPD,Schäfer,Ingo,1965,Wahlkreis,Solingen – Remscheid – Wuppertal II,TRUE,SchäferI1965
GRÜNE,Schäfer,Jamila Anna,1993,Wahlkreis,München-Süd,TRUE,SchäferJ1993
GRÜNE,Schäfer,Sebastian,1979,Liste,Baden-Württemberg,FALSE,SchäferS1979
FDP,Schäffler,Frank Uwe,1968,Liste,Nordrhein-Westfalen,TRUE,SchäfflerF1968
SPD,Schätzl,Johannes,1993,Liste,Bayern,TRUE,SchätzlJ1993
CDU,Schäuble,Wolfgang,1942,Wahlkreis,Offenburg,TRUE,SchäubleW1942
GRÜNE,Schönberger,Marlene Edeltraud,1990,Liste,Bayern,FALSE,SchönbergerM1990
FDP,Seestern-Pauly,Matthias,1984,Liste,Niedersachsen,TRUE,Seestern-PaulyM1984
SSW,Seidler,Stefan,1979,Liste,Schleswig-Holstein,TRUE,SeidlerS1979
CDU,Seif,Detlef,1962,Wahlkreis,Euskirchen – Rhein-Erft-Kreis II,TRUE,SeifD1962
FDP,Seiter,Stephan,1963,Liste,Baden-Württemberg,TRUE,SeiterS1963
AfD,Seitz,Thomas Michael Konrad,1967,Liste,Baden-Württemberg,FALSE,SeitzT1967
SPD,Seitzl,Lina,1989,Liste,Baden-Württemberg,TRUE,SeitzlL1989
GRÜNE,Sekmen,Melis,1993,Liste,Baden-Württemberg,FALSE,SekmenM1993
FDP,Semet,Rainer,1957,Liste,Baden-Württemberg,FALSE,SemetR1957
AfD,Sichert,Martin Johannes,1980,Liste,Bayern,TRUE,SichertM1980
CSU,Silberhorn,Thomas,1968,Wahlkreis,Bamberg,TRUE,SilberhornT1968
CDU,Simon,Björn Manuel,1981,Wahlkreis,Offenbach,TRUE,SimonB1981
DIE LINKE,Sitte,Petra,1960,Liste,Sachsen-Anhalt,TRUE,SitteP1960
FDP,Skudelny,Judith Sandra,1975,Liste,Baden-Württemberg,TRUE,SkudelnyJ1975
GRÜNE,Slawik,Nyke,1994,Liste,Nordrhein-Westfalen,TRUE,SlawikN1994
CDU,Sorge,Tino,1975,Liste,Sachsen-Anhalt,FALSE,SorgeT1975
CDU,Spahn,Jens Georg,1980,Wahlkreis,Steinfurt I – Borken I,TRUE,SpahnJ1980
GRÜNE,Spallek,Anne Monika,1968,Liste,Nordrhein-Westfalen,FALSE,SpallekA1968
AfD,Spaniel,Dirk,1971,Liste,Baden-Württemberg,TRUE,SpanielD1971
GRÜNE,Spellerberg,Merle,1996,Liste,Sachsen,TRUE,SpellerbergM1996
AfD,Springer,René,1979,Liste,Brandenburg,TRUE,SpringerR1979
SPD,Stadler,Svenja,1976,Wahlkreis,Harburg,TRUE,StadlerS1976
CSU,Staffler,Katrin,1981,Wahlkreis,Fürstenfeldbruck,TRUE,StafflerK1981
GRÜNE,Stahr,Nina,1982,Liste,Berlin,FALSE,StahrN1982
SPD,Stamm-Fibich,Martina Margarete,1965,Liste,Bayern,TRUE,Stamm-FibichM1965
FDP,Stark-Watzinger,Bettina,1968,Liste,Hessen,TRUE,Stark-WatzingerB1968
GRÜNE,Steffen,Till Benjamin,1973,Wahlkreis,Hamburg-Eimsbüttel,TRUE,SteffenT1973
CSU,Stefinger,Wolfgang Dieter,1985,Wahlkreis,München-Ost,FALSE,StefingerW1985
CDU,Stegemann,Albert,1976,Wahlkreis,Mittelems,TRUE,StegemannA1976
SPD,Stegner,Ralf,1959,Wahlkreis,Pinneberg,TRUE,StegnerR1959
SPD,Stein,Jens Mathias,1970,Wahlkreis,Kiel,FALSE,SteinJ1970
CDU,Steiniger,Johannes Eberhard,1987,Wahlkreis,Neustadt – Speyer,TRUE,SteinigerJ1987
GRÜNE,Steinmüller,Hanna,1993,Wahlkreis,Berlin-Mitte,TRUE,SteinmüllerH1993
CDU,Stetten,Christian Alexander,1970,Wahlkreis,Schwäbisch Hall – Hohenlohe,TRUE,StettenC1970
SPD,Sthamer,Nadja,1990,Liste,Sachsen,TRUE,SthamerN1990
CDU,Stier,Dieter,1964,Wahlkreis,Burgenland – Saalekreis,TRUE,StierD1964
FDP,Stockmeier,Konrad Johann Lorenz,1977,Liste,Baden-Württemberg,FALSE,StockmeierK1977
AfD,Storch,Beatrix,1971,Liste,Berlin,TRUE,StorchB1971
CDU,Storjohann,Gero,1958,Liste,Schleswig-Holstein,FALSE,StorjohannG1958
FDP,Strack-Zimmermann,Marie-Agnes,1958,Liste,Nordrhein-Westfalen,TRUE,Strack-ZimmermannM1958
CSU,Stracke,Stephan,1974,Wahlkreis,Ostallgäu,TRUE,StrackeS1974
FDP,Strasser,Benjamin,1987,Liste,Baden-Württemberg,TRUE,StrasserB1987
CSU,Straubinger,Max,1954,Wahlkreis,Rottal-Inn,FALSE,StraubingerM1954
GRÜNE,Strengmann-Kuhn,Wolfgang,1964,Liste,Hessen,TRUE,Strengmann-KuhnW1964
CDU,Stumpp,Christina Daniela,1987,Wahlkreis,Waiblingen,FALSE,StumppC1987
AfD,Stöber,Klaus,1961,Wahlkreis,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,TRUE,StöberK1961
CDU,Stöcker,Diana Iris,1970,Wahlkreis,Lörrach – Müllheim,FALSE,StöckerD1970
SPD,Stüwe,Ruppert Fritz Johannes,1978,Liste,Berlin,FALSE,StüweR1978
DIE LINKE,Tatti,Jessica Nadine,1981,Liste,Baden-Württemberg,TRUE,TattiJ1981
SPD,Tausend,Claudia Rosina,1964,Liste,Bayern,TRUE,TausendC1964
CDU,Tebroke,Hermann-Josef Johann,1964,Wahlkreis,Rheinisch-Bergischer Kreis,TRUE,TebrokeH1964
GRÜNE,Tesfaiesus,Awet,1974,Liste,Hessen,FALSE,TesfaiesusA1974
FDP,Teuteberg,Linda,1981,Liste,Brandenburg,TRUE,TeutebergL1981
FDP,Teutrine,Jens,1993,Liste,Nordrhein-Westfalen,FALSE,TeutrineJ1993
FDP,Theurer,Michael Alexander,1967,Liste,Baden-Württemberg,TRUE,TheurerM1967
SPD,Thews,Michael Eckardt,1964,Wahlkreis,Hamm – Unna II,TRUE,ThewsM1964
CDU,Thies,Hans-Jürgen,1955,Wahlkreis,Soest,TRUE,ThiesH1955
FDP,Thomae,Stephan,1968,Liste,Bayern,TRUE,ThomaeS1968
CDU,Throm,Alexander Richard,1968,Wahlkreis,Heilbronn,FALSE,ThromA1968
CDU,Tillmann,Antje,1964,Liste,Thüringen,TRUE,TillmannA1964
CDU,Timmermann-Fechter,Astrid,1963,Liste,Nordrhein-Westfalen,FALSE,Timmermann-FechterA1963
FDP,Tippelt,Nico,1967,Liste,Sachsen,FALSE,TippeltN1967
FDP,Todtenhausen,Manfred,1950,Liste,Nordrhein-Westfalen,FALSE,TodtenhausenM1950
FDP,Toncar,Florian,1979,Liste,Baden-Württemberg,TRUE,ToncarF1979
GRÜNE,Trittin,Jürgen,1954,Liste,Niedersachsen,TRUE,TrittinJ1954
SPD,Troff-Schaffarzyk,Anja,1969,Liste,Niedersachsen,FALSE,Troff-SchaffarzykA1969
SPD,Träger,Carsten Dietmar,1973,Liste,Bayern,TRUE,TrägerC1973
