"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Kaczmarek, Oliver","1970","SPD","Wahlkreis 144 (40,8 %)","Land Nordrhein-Westfalen (Platz 15)"
"Kaddor, Lamya","1978","GRÜNE","Land Nordrhein-Westfalen (Platz 12)","Wahlkreis 115"
"Kaiser, Elisabeth","1987","SPD","Land Thüringen (Platz 2)","Wahlkreis 194"
"Dr. Kappert-Gonther, Kirsten","1966","GRÜNE","Land Bremen (Platz 1)","Wahlkreis 054"
"Karaahmetoǧlu, Macit","1968","SPD","Land Baden-Württemberg (Platz 14)","Wahlkreis 265"
"Karliczek, Anja Maria-Antonia","1971","CDU","Wahlkreis 128 (34,0 %)","Land Nordrhein-Westfalen (Platz 2)"
"Kasper, Carlos","1994","SPD","Land Sachsen (Platz 5)","Wahlkreis 163"
"Kassautzki, Anna Katharina","1993","SPD","Wahlkreis 015 (24,3 %)","Land Mecklenburg-Vorpommern (Platz 2)"
"Katzmarek, Gabriele","1960","SPD","Land Baden-Württemberg (Platz 11)","Wahlkreis 273"
"Dr. Kaufmann, Malte","1976","AfD","Land Baden-Württemberg (Platz 7)","Wahlkreis 274"
"Prof. Dr. Kaufmann, Michael Heinz","1964","AfD","Wahlkreis 195 (29,3 %)","Land Thüringen (Platz 3)"
"Keller, Rainer Johannes (verstorben)","1965","SPD","Wahlkreis 113 (34,2 %)","Land Nordrhein-Westfalen (Platz 61)"
"Kellner, Michael","1977","GRÜNE","Land Brandenburg (Platz 2)","Wahlkreis 057"
"Kemmer, Ronja Helene","1989","CDU","Wahlkreis 291 (32,7 %)","Land Baden-Württemberg (Platz 15)"
"Dr. Kersten, Franziska","1968","SPD","Wahlkreis 067 (26,2 %)","Land Sachsen-Anhalt (Platz 4)"
"Keul, Katja","1969","GRÜNE","Land Niedersachsen (Platz 7)","Wahlkreis 040"
"Keuter, Stefan","1972","AfD","Land Nordrhein-Westfalen (Platz 12)","Wahlkreis 120"
"Khan, Misbah","1989","GRÜNE","Land Rheinland-Pfalz (Platz 5)",""
"Kiesewetter, Roderich","1963","CDU","Wahlkreis 270 (37,0 %)",""
"Kießling, Michael","1973","CSU","Wahlkreis 224 (38,2 %)",""
"Kindler, Sven-Christian","1985","GRÜNE","Land Niedersachsen (Platz 2)","Wahlkreis 042"
"Dr. Kippels, Georg","1959","CDU","Wahlkreis 091 (33,0 %)","Land Nordrhein-Westfalen (Platz 29)"
"Kipping, Katja (Mandat verzichtet)","1978","DIE LINKE","Land Sachsen (Platz 1)","Wahlkreis 159"
"Kiziltepe, Cansel","1975","SPD","Land Berlin (Platz 2)","Wahlkreis 083"
"Kleebank, Helmut","1964","SPD","Wahlkreis 078 (32,6 %)",""
"Klein, Karsten","1977","FDP","Land Bayern (Platz 3)","Wahlkreis 247"
"Dr. Klein, Ottilie Paola","1984","CDU","Land Berlin (Platz 3)","Wahlkreis 075"
"Klein, Volkmar","1960","CDU","Wahlkreis 148 (33,6 %)","Land Nordrhein-Westfalen (Platz 24)"
"Klein-Schmeink, Maria Anna","1958","GRÜNE","Wahlkreis 129 (32,3 %)","Land Nordrhein-Westfalen (Platz 7)"
"Kleinwächter, Norbert","1986","AfD","Land Brandenburg (Platz 4)",""
"Dr. Klinck, Kristian","1979","SPD","Wahlkreis 006 (31,4 %)","Land Schleswig-Holstein (Platz 13)"
"Klingbeil, Lars","1978","SPD","Wahlkreis 035 (47,6 %)","Land Niedersachsen (Platz 5)"
"Klöckner, Julia","1972","CDU","Land Rheinland-Pfalz (Platz 1)","Wahlkreis 201"
"Klose, Annika Gisela","1992","SPD","Land Berlin (Platz 4)","Wahlkreis 075"
"Kluckert, Daniela Kathrin","1980","FDP","Land Berlin (Platz 2)","Wahlkreis 076"
"Klüssendorf, Tim","1991","SPD","Wahlkreis 011 (34,1 %)","Land Schleswig-Holstein (Platz 5)"
"Knoerig, Axel","1967","CDU","Wahlkreis 033 (33,8 %)","Land Niedersachsen (Platz 24)"
"Kober, Pascal Felix Ernst","1971","FDP","Land Baden-Württemberg (Platz 4)","Wahlkreis 289"
"Koeppen, Jens","1962","CDU","Land Brandenburg (Platz 1)","Wahlkreis 057"
"Dr. Kofler, Bärbel","1967","SPD","Land Bayern (Platz 2)","Wahlkreis 225"
"Dr. Köhler, Lukas Otto","1986","FDP","Land Bayern (Platz 4)","Wahlkreis 220"
"Komning, Enrico","1968","AfD","Land Mecklenburg-Vorpommern (Platz 2)","Wahlkreis 016"
"König, Anne","1984","CDU","Wahlkreis 126 (43,7 %)",""
"König, Jörn Harald","1967","AfD","Land Niedersachsen (Platz 5)","Wahlkreis 041"
"Konrad, Carina","1982","FDP","Land Rheinland-Pfalz (Platz 2)","Wahlkreis 200"
"Koob, Markus Benjamin","1977","CDU","Wahlkreis 176 (31,3 %)","Land Hessen (Platz 10)"
"Kopf, Chantal Johanna Siglinde","1995","GRÜNE","Wahlkreis 281 (28,8 %)","Land Baden-Württemberg (Platz 14)"
"Körber, Carsten","1979","CDU","Land Sachsen (Platz 5)","Wahlkreis 165"
"Korte, Jan","1977","DIE LINKE","Land Sachsen-Anhalt (Platz 1)","Wahlkreis 071"
"Koß, Simona","1961","SPD","Wahlkreis 059 (24,8 %)","Land Brandenburg (Platz 8)"
"Kotré, Steffen","1971","AfD","Land Brandenburg (Platz 3)","Wahlkreis 062"
"Kraft, Laura Manuela","1990","GRÜNE","Land Nordrhein-Westfalen (Platz 23)","Wahlkreis 148"
"Dr. Kraft, Rainer Detlef","1974","AfD","Land Bayern (Platz 8)","Wahlkreis 253"
"Krämer, Philip","1992","GRÜNE","Land Hessen (Platz 6)","Wahlkreis 187"
"Kramme, Anette","1967","SPD","Land Bayern (Platz 4)","Wahlkreis 237"
"Kramp-Karrenbauer, Annegret (Mandat abgelehnt)","1962","CDU","Land Saarland (Platz 1)","Wahlkreis 296"
"Kreiser, Dunja Eleonore Angelika","1971","SPD","Wahlkreis 049 (38,6 %)","Land Niedersachsen (Platz 12)"
"Krichbaum, Gunther","1964","CDU","Wahlkreis 279 (28,5 %)",""
"Dr. Krings, Günter","1969","CDU","Wahlkreis 109 (35,6 %)","Land Nordrhein-Westfalen (Platz 7)"
"Krischer, Oliver (Mandat verzichtet)","1969","GRÜNE","Wahlkreis 087 (30,2 %)","Land Nordrhein-Westfalen (Platz 2)"
"Kröber, Martin","1992","SPD","Wahlkreis 069 (25,3 %)","Land Sachsen-Anhalt (Platz 3)"
"Kruse, Michael","1983","FDP","Land Hamburg (Platz 1)",""
"Kuban, Tilman Moritz","1987","CDU","Land Niedersachsen (Platz 7)","Wahlkreis 047"
"Kubicki, Wolfgang","1952","FDP","Land Schleswig-Holstein (Platz 1)","Wahlkreis 003"
"Kuhle, Konstantin Elias","1989","FDP","Land Niedersachsen (Platz 4)","Wahlkreis 053"
"Kühn, Christian","1979","GRÜNE","Land Baden-Württemberg (Platz 4)","Wahlkreis 290"
"Kühnert, Kevin","1989","SPD","Wahlkreis 081 (26,7 %)","Land Berlin (Platz 3)"
"Künast, Renate Elly","1955","GRÜNE","Land Berlin (Platz 3)","Wahlkreis 081"
"Kurth, Markus","1966","GRÜNE","Land Nordrhein-Westfalen (Platz 22)","Wahlkreis 142"
