"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Uhlig, Katrin Babette","1982","GRÜNE","Wahlkreis 096 (25,2 %)","Land Nordrhein-Westfalen (Platz 15)"
"Prof. Dr. Ullmann, Andrew John","1963","FDP","Land Bayern (Platz 10)","Wahlkreis 251"
"Ullrich, Frank","1958","SPD","Wahlkreis 196 (33,6 %)","Land Thüringen (Platz 3)"
"Ullrich, Gerald","1962","FDP","Land Thüringen (Platz 1)","Wahlkreis 196"
"Dr. Ullrich, Volker Michael","1975","CSU","Wahlkreis 252 (28,1 %)","Land Bayern (Platz 19)"
"Ulrich, Alexander","1971","DIE LINKE","Land Rheinland-Pfalz (Platz 1)","Wahlkreis 209"
