Name, Vornamen;Geburts­jahr;Partei;Gewählt im;Kandidierte auch im;;
Yüksel, Gülistan;1962;SPD;Land Nordrhein-Westfalen (Platz 22);Wahlkreis 109;;
"Irlstorfer, Erich
";1970;CSU;Wahlkreis 214 (36,2 %);;;
