"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Rachel, Thomas Walther","1962","CDU","Wahlkreis 090 (36,7 %)","Land Nordrhein-Westfalen (Platz 9)"
"Radomski, Kerstin Christiane","1974","CDU","Land Nordrhein-Westfalen (Platz 20)","Wahlkreis 114"
"Radwan, Alexander Gamal","1964","CSU","Wahlkreis 223 (41,3 %)",""
"Rainer, Alois Georg Josef","1965","CSU","Wahlkreis 231 (44,3 %)",""
"Dr. Ramsauer, Peter","1954","CSU","Wahlkreis 225 (36,6 %)",""
"Dr. Redder, Volker","1959","FDP","Land Bremen (Platz 1)","Wahlkreis 054"
"Rehbaum, Henning","1973","CDU","Wahlkreis 130 (36,3 %)",""
"Reichardt, Martin","1969","AfD","Land Sachsen-Anhalt (Platz 1)","Wahlkreis 073"
"Dr. Reichel, Markus","1968","CDU","Wahlkreis 159 (21,1 %)","Land Sachsen (Platz 3)"
"Reichinnek, Heidi","1988","DIE LINKE","Land Niedersachsen (Platz 3)","Wahlkreis 039"
"Prof. Dr. Reinalter, Anja Margit","1970","GRÜNE","Land Baden-Württemberg (Platz 18)","Wahlkreis 292"
"Reinhold, Hagen (Mandat verzichtet)","1978","FDP","Land Mecklenburg-Vorpommern (Platz 1)","Wahlkreis 014"
"Renner, Martin Erwin","1954","AfD","Land Nordrhein-Westfalen (Platz 4)","Wahlkreis 104"
"Renner, Martina Erika","1967","DIE LINKE","Land Thüringen (Platz 3)","Wahlkreis 190"
"Reuther, Bernd","1971","FDP","Land Nordrhein-Westfalen (Platz 13)","Wahlkreis 113"
"Rhie, Ye-One","1987","SPD","Land Nordrhein-Westfalen (Platz 30)","Wahlkreis 087"
"Dr. De Ridder, Daniela Friederike","1962","SPD","Land Niedersachsen (Platz 24)","Wahlkreis 031"
"Rief, Josef","1960","CDU","Wahlkreis 292 (35,1 %)",""
"Riexinger, Bernd Karl","1955","DIE LINKE","Land Baden-Württemberg (Platz 1)","Wahlkreis 258"
"Rimkus, Andreas","1962","SPD","Wahlkreis 107 (29,2 %)","Land Nordrhein-Westfalen (Platz 19)"
"Rinck, Frank Martin Klaus","1986","AfD","Land Niedersachsen (Platz 2)","Wahlkreis 048"
"Rix, Sönke","1975","SPD","Wahlkreis 004 (30,8 %)","Land Schleswig-Holstein (Platz 1)"
"Rohde, Dennis","1986","SPD","Wahlkreis 027 (38,2 %)","Land Niedersachsen (Platz 7)"
"Rohwer, Lars","1972","CDU","Wahlkreis 160 (18,6 %)",""
"Roloff, Sebastian Jörg","1983","SPD","Land Bayern (Platz 5)","Wahlkreis 219"
"Dr. Rosemann, Martin","1976","SPD","Land Baden-Württemberg (Platz 4)","Wahlkreis 290"
"Rosenthal, Jessica","1992","SPD","Land Nordrhein-Westfalen (Platz 20)","Wahlkreis 096"
"Rößner, Tabea","1966","GRÜNE","Land Rheinland-Pfalz (Platz 1)","Wahlkreis 205"
"Roth, Claudia Benedikta","1955","GRÜNE","Land Bayern (Platz 1)","Wahlkreis 252"
"Roth, Michael","1970","SPD","Wahlkreis 169 (43,7 %)","Land Hessen (Platz 1)"
"Dr. Röttgen, Norbert Alois","1965","CDU","Wahlkreis 098 (40,0 %)",""
"Dr. Rottmann, Manuela","1972","GRÜNE","Land Bayern (Platz 5)","Wahlkreis 248"
"Rouenhoff, Stefan","1978","CDU","Wahlkreis 112 (37,6 %)","Land Nordrhein-Westfalen (Platz 36)"
"Röwekamp, Thomas","1966","CDU","Land Bremen (Platz 1)","Wahlkreis 054"
"Rüddel, Erwin Josef","1955","CDU","Wahlkreis 197 (31,9 %)","Land Rheinland-Pfalz (Platz 7)"
"Dr. Rudolph, Thorsten","1974","SPD","Land Rheinland-Pfalz (Platz 3)","Wahlkreis 199"
"Rudolph, Tina","1991","SPD","Land Thüringen (Platz 4)","Wahlkreis 190"
"Rüffer, Corinna Martina","1975","GRÜNE","Land Rheinland-Pfalz (Platz 3)","Wahlkreis 203"
"Rupprecht, Albert Robert","1968","CSU","Wahlkreis 235 (38,5 %)",""
"Rützel, Bernd Ferdinand","1968","SPD","Land Bayern (Platz 7)","Wahlkreis 249"
"Ryglewski, Sarah Janina","1983","SPD","Wahlkreis 054 (30,2 %)","Land Bremen (Platz 1)"
