"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Dr. Schenderlein, Christiane","1981","CDU","Land Sachsen (Platz 2)","Wahlkreis 151"
"Scheuer, Andreas Franz","1974","CSU","Wahlkreis 229 (30,7 %)","Land Bayern (Platz 3)"
"Schieder, Marianne","1962","SPD","Land Bayern (Platz 12)","Wahlkreis 234"
"Schiefner, Udo","1959","SPD","Land Nordrhein-Westfalen (Platz 7)","Wahlkreis 111"
"Schielke-Ziesing, Ulrike","1969","AfD","Land Mecklenburg-Vorpommern (Platz 3)","Wahlkreis 017"
"Schierenbeck, Peggy","1970","SPD","Land Niedersachsen (Platz 20)","Wahlkreis 033"
"Schimke, Jana","1979","CDU","Land Brandenburg (Platz 3)","Wahlkreis 062"
"Schisanowski, Timo","1981","SPD","Wahlkreis 138 (33,3 %)","Land Nordrhein-Westfalen (Platz 51)"
"Schmid, Christoph Florian","1976","SPD","Land Bayern (Platz 9)","Wahlkreis 254"
"Dr. Schmid, Nils Hermann","1973","SPD","Land Baden-Württemberg (Platz 2)","Wahlkreis 262"
"Schmidt, Dagmar","1973","SPD","Wahlkreis 172 (33,1 %)","Land Hessen (Platz 2)"
"Schmidt, Eugen","1975","AfD","Land Nordrhein-Westfalen (Platz 10)","Wahlkreis 091"
"Schmidt, Jan Wenzel","1991","AfD","Land Sachsen-Anhalt (Platz 2)","Wahlkreis 067"
"Schmidt, Stefan","1981","GRÜNE","Land Bayern (Platz 10)","Wahlkreis 233"
"Schmidt, Uwe","1966","SPD","Wahlkreis 055 (36,9 %)","Land Bremen (Platz 2)"
"Schneider, Carsten","1976","SPD","Wahlkreis 193 (24,4 %)","Land Thüringen (Platz 1)"
"Schneider, Daniel Dominik","1976","SPD","Wahlkreis 029 (36,8 %)","Land Niedersachsen (Platz 23)"
"Schneider, Jörg","1964","AfD","Land Nordrhein-Westfalen (Platz 5)","Wahlkreis 123"
"Schnieder, Patrick","1968","CDU","Wahlkreis 202 (37,8 %)","Land Rheinland-Pfalz (Platz 2)"
"Scholz, Olaf","1958","SPD","Wahlkreis 061 (34,0 %)","Land Brandenburg (Platz 1)"
"Schönberger, Marlene Edeltraud","1990","GRÜNE","Land Bayern (Platz 15)","Wahlkreis 230"
"Schraps, Johannes","1983","SPD","Wahlkreis 046 (43,2 %)","Land Niedersachsen (Platz 9)"
"Schreider, Christian Willi Heribert","1971","SPD","Wahlkreis 207 (32,8 %)","Land Rheinland-Pfalz (Platz 13)"
"Schreiner, Felix","1986","CDU","Wahlkreis 288 (33,6 %)",""
"Schröder, Christina-Johanne","1983","GRÜNE","Land Niedersachsen (Platz 3)","Wahlkreis 028"
"Schröder, Ria Irmtraut Claudia","1992","FDP","Land Hamburg (Platz 2)",""
"Schrodi, Michael Georg","1977","SPD","Land Bayern (Platz 13)","Wahlkreis 215"
"Schulz, Anja","1985","FDP","Land Niedersachsen (Platz 3)","Wahlkreis 044"
"Schulz, Uwe","1961","AfD","Land Hessen (Platz 3)","Wahlkreis 173"
"Schulz-Asche, Kordula Anna Paula","1956","GRÜNE","Land Hessen (Platz 3)","Wahlkreis 181"
"Schulze, Svenja","1968","SPD","Land Nordrhein-Westfalen (Platz 2)","Wahlkreis 129"
"Schwabe, Frank","1970","SPD","Wahlkreis 121 (41,0 %)","Land Nordrhein-Westfalen (Platz 25)"
"Schwartze, Stefan","1974","SPD","Wahlkreis 133 (36,5 %)","Land Nordrhein-Westfalen (Platz 11)"
"Schwarz, Andreas","1965","SPD","Land Bayern (Platz 11)","Wahlkreis 236"
"Schwarz, Armin (Mandat verzichtet)","1968","CDU","Land Hessen (Platz 6)","Wahlkreis 167"
"Schwarzelühr-Sutter, Rita Berta","1962","SPD","Land Baden-Württemberg (Platz 3)","Wahlkreis 288"
"Seestern-Pauly, Matthias","1984","FDP","Land Niedersachsen (Platz 7)","Wahlkreis 038"
"Seidler, Stefan","1979","SSW","Land Schleswig-Holstein (Platz 1)","Wahlkreis 001"
"Seif, Detlef","1962","CDU","Wahlkreis 092 (34,6 %)","Land Nordrhein-Westfalen (Platz 43)"
"Prof. Dr. Seiter, Stephan","1963","FDP","Land Baden-Württemberg (Platz 11)","Wahlkreis 264"
"Seitz, Thomas Michael Konrad","1967","AfD","Land Baden-Württemberg (Platz 9)","Wahlkreis 283"
"Dr. Seitzl, Lina","1989","SPD","Land Baden-Württemberg (Platz 15)","Wahlkreis 287"
"Sekmen, Melis","1993","GRÜNE","Land Baden-Württemberg (Platz 16)","Wahlkreis 275"
"Semet, Rainer","1957","FDP","Land Baden-Württemberg (Platz 15)","Wahlkreis 279"
"Sichert, Martin Johannes","1980","AfD","Land Bayern (Platz 5)","Wahlkreis 244"
"Silberhorn, Thomas","1968","CSU","Wahlkreis 236 (37,0 %)",""
"Simon, Björn Manuel","1981","CDU","Wahlkreis 185 (27,8 %)","Land Hessen (Platz 17)"
"Dr. Sitte, Petra","1960","DIE LINKE","Land Sachsen-Anhalt (Platz 2)","Wahlkreis 072"
"Skudelny, Judith Sandra","1975","FDP","Land Baden-Württemberg (Platz 2)","Wahlkreis 258"
"Slawik, Nyke","1994","GRÜNE","Land Nordrhein-Westfalen (Platz 11)","Wahlkreis 101"
"Sorge, Tino","1975","CDU","Land Sachsen-Anhalt (Platz 3)","Wahlkreis 069"
"Spahn, Jens Georg","1980","CDU","Wahlkreis 124 (40,0 %)","Land Nordrhein-Westfalen (Platz 4)"
"Dr. Spallek, Anne Monika","1968","GRÜNE","Land Nordrhein-Westfalen (Platz 21)","Wahlkreis 127"
"Dr. Spaniel, Dirk","1971","AfD","Land Baden-Württemberg (Platz 3)","Wahlkreis 258"
"Spellerberg, Merle","1996","GRÜNE","Land Sachsen (Platz 3)","Wahlkreis 160"
"Springer, René","1979","AfD","Land Brandenburg (Platz 2)",""
"Stadler, Svenja","1976","SPD","Wahlkreis 036 (31,0 %)","Land Niedersachsen (Platz 4)"
"Staffler, Katrin","1981","CSU","Wahlkreis 215 (38,0 %)","Land Bayern (Platz 18)"
"Stamm-Fibich, Martina Margarete","1965","SPD","Land Bayern (Platz 18)","Wahlkreis 242"
"Stark-Watzinger, Bettina","1968","FDP","Land Hessen (Platz 1)","Wahlkreis 181"
"Dr. Steffen, Till Benjamin","1973","GRÜNE","Wahlkreis 020 (29,8 %)","Land Hamburg (Platz 2)"
"Dr. Stefinger, Wolfgang Dieter","1985","CSU","Wahlkreis 218 (31,7 %)",""
"Stegemann, Albert","1976","CDU","Wahlkreis 031 (40,5 %)","Land Niedersachsen (Platz 29)"
"Dr. Stegner, Ralf","1959","SPD","Wahlkreis 007 (31,2 %)","Land Schleswig-Holstein (Platz 3)"
"Stein, Jens Mathias","1970","SPD","Wahlkreis 005 (29,5 %)","Land Schleswig-Holstein (Platz 7)"
"Steiniger, Johannes Eberhard","1987","CDU","Wahlkreis 208 (30,2 %)","Land Rheinland-Pfalz (Platz 8)"
"Steinmüller, Hanna","1993","GRÜNE","Wahlkreis 075 (30,6 %)","Land Berlin (Platz 9)"
"Freiherr von Stetten, Christian Alexander","1970","CDU","Wahlkreis 268 (32,1 %)",""
"Sthamer, Nadja","1990","SPD","Land Sachsen (Platz 6)","Wahlkreis 153"
"Stier, Dieter","1964","CDU","Wahlkreis 073 (26,3 %)","Land Sachsen-Anhalt (Platz 2)"
"Stöber, Klaus","1961","AfD","Wahlkreis 190 (24,8 %)",""
"Stöcker, Diana Iris","1970","CDU","Wahlkreis 282 (25,2 %)",""
"Stockmeier, Konrad Johann Lorenz","1977","FDP","Land Baden-Württemberg (Platz 13)","Wahlkreis 275"
"von Storch, Beatrix","1971","AfD","Land Berlin (Platz 1)","Wahlkreis 075"
"Storjohann, Gero (verstorben)","1958","CDU","Land Schleswig-Holstein (Platz 5)","Wahlkreis 008"
"Stracke, Stephan","1974","CSU","Wahlkreis 257 (38,8 %)",""
"Dr. Strack-Zimmermann, Marie-Agnes","1958","FDP","Land Nordrhein-Westfalen (Platz 2)","Wahlkreis 106"
"Strasser, Benjamin","1987","FDP","Land Baden-Württemberg (Platz 6)","Wahlkreis 294"
"Straubinger, Max","1954","CSU","Wahlkreis 230 (35,1 %)",""
"Dr. Strengmann-Kuhn, Wolfgang","1964","GRÜNE","Land Hessen (Platz 4)","Wahlkreis 185"
"Stumpp, Christina Daniela","1987","CDU","Wahlkreis 264 (29,0 %)",""
