"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Saathoff, Johann","1967","SPD","Wahlkreis 024 (52,8 %)","Land Niedersachsen (Platz 11)"
"Sacher, Michael","1964","GRÜNE","Land Nordrhein-Westfalen (Platz 28)","Wahlkreis 144"
"Saleh, Kassem Taher","1993","GRÜNE","Land Sachsen (Platz 4)","Wahlkreis 159"
"dos Santos Firnhaber, Catarina","1994","CDU","Land Nordrhein-Westfalen (Platz 15)","Wahlkreis 088"
"Sattelberger, Thomas Michael (Mandat verzichtet)","1949","FDP","Land Bayern (Platz 5)","Wahlkreis 219"
"Sauter, Christian","1980","FDP","Land Nordrhein-Westfalen (Platz 16)","Wahlkreis 135"
"Schäfer, Axel Helmut","1952","SPD","Wahlkreis 140 (38,3 %)","Land Nordrhein-Westfalen (Platz 54)"
"Schäfer, Ingo","1965","SPD","Wahlkreis 103 (32,6 %)","Land Nordrhein-Westfalen (Platz 43)"
"Schäfer, Jamila Anna","1993","GRÜNE","Wahlkreis 219 (27,5 %)","Land Bayern (Platz 7)"
"Dr. Schäfer, Sebastian","1979","GRÜNE","Land Baden-Württemberg (Platz 17)","Wahlkreis 261"
"Schäffler, Frank Uwe","1968","FDP","Land Nordrhein-Westfalen (Platz 9)","Wahlkreis 134"
"Schamber, Rebecca","1975","SPD","Wahlkreis 043 (33,7 %)","Land Niedersachsen (Platz 22)"
"Schattner, Bernd Hans","1968","AfD","Land Rheinland-Pfalz (Platz 4)","Wahlkreis 211"
"Schätzl, Johannes","1993","SPD","Land Bayern (Platz 17)","Wahlkreis 229"
"Dr. Schäuble, Wolfgang (verstorben)","1942","CDU","Wahlkreis 284 (34,9 %)","Land Baden-Württemberg (Platz 1)"
"Schauws, Ursula","1966","GRÜNE","Land Nordrhein-Westfalen (Platz 9)","Wahlkreis 114"
"Dr. Scheer, Nina","1971","SPD","Wahlkreis 010 (31,0 %)","Land Schleswig-Holstein (Platz 2)"
