"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Cademartori Dujisin, Isabel Andrea","1988","SPD","Wahlkreis 275 (26,4 %)","Land Baden-Württemberg (Platz 17)"
"Dr. Castellucci, Lars","1974","SPD","Land Baden-Württemberg (Platz 10)","Wahlkreis 277"
"Dr. Christmann, Anna Maria","1983","GRÜNE","Land Baden-Württemberg (Platz 8)","Wahlkreis 259"
"Chrupalla, Tino","1975","AfD","Wahlkreis 157 (35,8 %)","Land Sachsen (Platz 1)"
"Connemann, Gitta","1964","CDU","Wahlkreis 025 (44,4 %)","Land Niedersachsen (Platz 3)"
"Coße, Jürgen","1969","SPD","Land Nordrhein-Westfalen (Platz 29)","Wahlkreis 128"
"Cotar, Joana Eleonora","1973","AfD","Land Hessen (Platz 2)","Wahlkreis 183"
"Cronenberg, Carl-Julius","1962","FDP","Land Nordrhein-Westfalen (Platz 14)","Wahlkreis 147"
"Dr. Curio, Gottfried","1960","AfD","Land Berlin (Platz 2)",""
"Czaja, Mario","1975","CDU","Wahlkreis 085 (29,7 %)",""
