"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Lahrkamp, Sarah","1981","SPD","Land Nordrhein-Westfalen (Platz 24)","Wahlkreis 124"
"Lang, Ricarda","1994","GRÜNE","Land Baden-Württemberg (Platz 10)","Wahlkreis 269"
"Lange, Ulrich","1969","CSU","Wahlkreis 254 (41,1 %)",""
"Larem, Andreas","1964","SPD","Wahlkreis 186 (27,4 %)","Land Hessen (Platz 15)"
"Laschet, Armin","1961","CDU","Land Nordrhein-Westfalen (Platz 1)",""
"Latendorf, Ina","1971","DIE LINKE","Land Mecklenburg-Vorpommern (Platz 2)","Wahlkreis 012"
"Dr. Launert, Silke","1976","CSU","Wahlkreis 237 (42,4 %)","Land Bayern (Platz 16)"
"Dr. Lauterbach, Karl Wilhelm","1963","SPD","Wahlkreis 101 (45,6 %)","Land Nordrhein-Westfalen (Platz 23)"
"Lay, Caren Nicole","1972","DIE LINKE","Land Sachsen (Platz 3)","Wahlkreis 156"
"Lechte, Ulrich","1977","FDP","Land Bayern (Platz 8)","Wahlkreis 233"
"Lehmann, Jens","1967","CDU","Wahlkreis 152 (20,5 %)","Land Sachsen (Platz 7)"
"Lehmann, Sven","1979","GRÜNE","Wahlkreis 094 (34,6 %)","Land Nordrhein-Westfalen (Platz 4)"
"Lehmann, Sylvia","1954","SPD","Wahlkreis 062 (26,5 %)","Land Brandenburg (Platz 4)"
"Lehrieder, Paul Alois","1959","CSU","Wahlkreis 251 (36,9 %)","Land Bayern (Platz 33)"
"Dr. Leikert, Katja Isabel","1975","CDU","Land Hessen (Platz 5)","Wahlkreis 180"
"Leiser, Kevin","1993","SPD","Land Baden-Württemberg (Platz 20)","Wahlkreis 268"
"Lemke, Steffi","1968","GRÜNE","Land Sachsen-Anhalt (Platz 1)","Wahlkreis 070"
"Lenders, Jürgen","1966","FDP","Land Hessen (Platz 5)","Wahlkreis 174"
"Lenk, Barbara","1982","AfD","Wahlkreis 155 (31,0 %)","Land Sachsen (Platz 7)"
"Lenkert, Ralph","1967","DIE LINKE","Land Thüringen (Platz 2)","Wahlkreis 191"
"Dr. Lenz, Andreas","1981","CSU","Wahlkreis 213 (42,3 %)",""
"Leye, Christian","1981","DIE LINKE","Land Nordrhein-Westfalen (Platz 6)","Wahlkreis 116"
"Licina-Bode, Luiza","1972","SPD","Land Nordrhein-Westfalen (Platz 32)","Wahlkreis 148"
"Dr. Lieb, Thorsten Willibald","1973","FDP","Land Hessen (Platz 2)","Wahlkreis 183"
"Liebert, Anja","1969","GRÜNE","Land Nordrhein-Westfalen (Platz 27)","Wahlkreis 102"
"Limbacher, Esra-Leon Ruben","1989","SPD","Wahlkreis 299 (36,6 %)","Land Saarland (Platz 5)"
"Limburg, Helge Stefan","1982","GRÜNE","Land Niedersachsen (Platz 8)","Wahlkreis 046"
"Lindh, Helge Frederik","1976","SPD","Wahlkreis 102 (37,3 %)","Land Nordrhein-Westfalen (Platz 27)"
"Lindholz, Andrea","1970","CSU","Wahlkreis 247 (40,7 %)","Land Bayern (Platz 6)"
"Lindner, Christian Wolfgang","1979","FDP","Land Nordrhein-Westfalen (Platz 1)","Wahlkreis 100"
"Dr. Lindner, Tobias","1982","GRÜNE","Land Rheinland-Pfalz (Platz 2)","Wahlkreis 211"
"Link, Michael Georg","1963","FDP","Land Baden-Württemberg (Platz 3)","Wahlkreis 267"
"Dr. Linnemann, Carsten Christoffer","1977","CDU","Wahlkreis 137 (47,9 %)",""
"Lips, Patricia","1963","CDU","Land Hessen (Platz 2)","Wahlkreis 187"
"Loop, Denise","1994","GRÜNE","Land Schleswig-Holstein (Platz 5)","Wahlkreis 002"
"Loos, Bernhard Siegfried","1955","CSU","Wahlkreis 217 (25,7 %)","Land Bayern (Platz 21)"
"Dr. Lötzsch, Gesine","1961","DIE LINKE","Wahlkreis 086 (25,8 %)","Land Berlin (Platz 3)"
"Lucassen, Hans-Rüdiger","1951","AfD","Land Nordrhein-Westfalen (Platz 1)","Wahlkreis 092"
"Lucks, Max","1997","GRÜNE","Land Nordrhein-Westfalen (Platz 14)","Wahlkreis 140"
"Dr. Luczak, Jan-Marco","1975","CDU","Land Berlin (Platz 2)","Wahlkreis 081"
"Ludwig, Daniela","1975","CSU","Wahlkreis 222 (36,1 %)","Land Bayern (Platz 4)"
"Lugk, Bettina","1982","SPD","Land Nordrhein-Westfalen (Platz 14)","Wahlkreis 150"
"Lührmann, Anna Kristina","1983","GRÜNE","Land Hessen (Platz 5)","Wahlkreis 178"
"Luksic, Oliver","1979","FDP","Land Saarland (Platz 1)","Wahlkreis 298"
"Lütke, Kristine","1982","FDP","Land Bayern (Platz 12)","Wahlkreis 246"
"Lutze, Thomas","1969","DIE LINKE","Land Saarland (Platz 1)",""
