"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Jacobi, Fabian","1973","AfD","Land Nordrhein-Westfalen (Platz 3)","Wahlkreis 093"
"Janecek, Dieter Gerald","1976","GRÜNE","Land Bayern (Platz 4)","Wahlkreis 220"
"Janich, Steffen","1971","AfD","Wahlkreis 158 (33,0 %)","Land Sachsen (Platz 6)"
"Janssen, Anne","1982","CDU","Land Niedersachsen (Platz 6)","Wahlkreis 026"
"Jarzombek, Thomas","1973","CDU","Wahlkreis 106 (31,1 %)","Land Nordrhein-Westfalen (Platz 12)"
"Jensen-Bornhöft, Gyde","1989","FDP","Land Schleswig-Holstein (Platz 2)","Wahlkreis 002"
"Dr. Jongen, Marc Stephan","1968","AfD","Land Baden-Württemberg (Platz 5)","Wahlkreis 266"
"Jung, Andreas","1975","CDU","Wahlkreis 287 (34,1 %)","Land Baden-Württemberg (Platz 3)"
"Dr. Jung, Christian (Mandat abgelehnt)","1977","FDP","Land Baden-Württemberg (Platz 10)",""
"Jung, Ingmar Ludwig (Mandat verzichtet)","1978","CDU","Wahlkreis 179 (26,3 %)","Land Hessen (Platz 12)"
"Junge, Frank Michael","1967","SPD","Wahlkreis 013 (35,2 %)","Land Mecklenburg-Vorpommern (Platz 1)"
"Juratovic, Josip","1959","SPD","Land Baden-Württemberg (Platz 18)","Wahlkreis 267"
"Dr. Jurisch, Ann-Veruschka","1972","FDP","Land Baden-Württemberg (Platz 14)","Wahlkreis 287"
