Wahlkreisnummere,Name,Partei,Stimmenanteil,Bundesland,Listenplatz,Art
2,"Damerow, Astrid",CDU,30.4,Schleswig-Holstein,NA,Direkt
3,"Helfrich, Mark",CDU,29.2,Schleswig-Holstein,NA,Direkt
4,"Dr. Wadephul, Johann David",CDU,NA,Schleswig-Holstein,1,Liste
9,"Gädechens, Ingo Adolf August",CDU,NA,Schleswig-Holstein,3,Liste
1,"Nicolaisen, Petra",CDU,NA,Schleswig-Holstein,4,Liste
8,"Storjohann, Gero",CDU,NA,Schleswig-Holstein,5,Liste
16,"Amthor, Philipp",CDU,NA,Mecklenburg-Vorpommern,1,Liste
12,"Monstadt, Dietrich",CDU,NA,Mecklenburg-Vorpommern,2,Liste
21,"Dr. Ploß, Christoph Johannes",CDU,NA,Hamburg,1,Liste
22,"Hoppermann, Franziska Christina Brigitte",CDU,NA,Hamburg,2,Liste
32,"Breher, Silvia Maria",CDU,49.1,Niedersachsen,NA,Direkt
25,"Connemann, Gitta",CDU,44.4,Niedersachsen,NA,Direkt
31,"Stegemann, Albert",CDU,40.5,Niedersachsen,NA,Direkt
38,"Dr. Berghegger, André (Mandat verzichtet)",CDU,36.2,Niedersachsen,NA,Direkt
30,"Grundmann, Oliver Klaus",CDU,34.6,Niedersachsen,NA,Direkt
33,"Knoerig, Axel",CDU,33.8,Niedersachsen,NA,Direkt
34,"Mattfeldt, Andreas",CDU,33.7,Niedersachsen,NA,Direkt
44,"Otte, Henning Rudolf Helmut",CDU,32.9,Niedersachsen,NA,Direkt
43,"Dr. Hoppenstedt, Hendrik",CDU,NA,Niedersachsen,1,Liste
36,"Grosse-Brömer, Michael",CDU,NA,Niedersachsen,2,Liste
39,"Dr. Middelberg, Mathias Wolfgang Antonius",CDU,NA,Niedersachsen,4,Liste
29,"Ferlemann, Enak Matthias",CDU,NA,Niedersachsen,5,Liste
26,"Janssen, Anne",CDU,NA,Niedersachsen,6,Liste
47,"Kuban, Tilman Moritz",CDU,NA,Niedersachsen,7,Liste
50,"Müller, Carsten",CDU,NA,Niedersachsen,8,Liste
46,"Wulf, Mareike Lotte",CDU,NA,Niedersachsen,9,Liste
54,"Röwekamp, Thomas",CDU,NA,Bremen,1,Liste
57,"Koeppen, Jens",CDU,NA,Brandenburg,1,Liste
58,"Feiler, Uwe Wolfgang Werner",CDU,NA,Brandenburg,2,Liste
62,"Schimke, Jana",CDU,NA,Brandenburg,3,Liste
65,"Abraham, Knut Friedrich Alexander",CDU,NA,Brandenburg,4,Liste
70,"Müller, Sepp",CDU,34.3,Sachsen-Anhalt,NA,Direkt
68,"Brehmer, Heike Martina",CDU,27.7,Sachsen-Anhalt,NA,Direkt
73,"Stier, Dieter",CDU,26.3,Sachsen-Anhalt,NA,Direkt
69,"Sorge, Tino",CDU,NA,Sachsen-Anhalt,3,Liste
85,"Czaja, Mario",CDU,29.7,Berlin,NA,Direkt
77,"Grütters, Monika",CDU,29.5,Berlin,NA,Direkt
79,"Heilmann, Thomas",CDU,28.6,Berlin,NA,Direkt
81,"Dr. Luczak, Jan-Marco",CDU,NA,Berlin,2,Liste
137,"Dr. Linnemann, Carsten Christoffer",CDU,47.9,Nordrhein-Westfalen,NA,Direkt
126,"König, Anne",CDU,43.7,Nordrhein-Westfalen,NA,Direkt
127,"Henrichmann, Marc",CDU,40.9,Nordrhein-Westfalen,NA,Direkt
147,"Merz, Joachim-Friedrich Martin Josef",CDU,40.4,Nordrhein-Westfalen,NA,Direkt
136,"Haase, Christian",CDU,40.1,Nordrhein-Westfalen,NA,Direkt
98,"Dr. Röttgen, Norbert Alois",CDU,40,Nordrhein-Westfalen,NA,Direkt
124,"Spahn, Jens Georg",CDU,40,Nordrhein-Westfalen,NA,Direkt
131,"Brinkhaus, Ralph",CDU,40,Nordrhein-Westfalen,NA,Direkt
89,"Oellers, Wilfried",CDU,39.7,Nordrhein-Westfalen,NA,Direkt
112,"Rouenhoff, Stefan",CDU,37.6,Nordrhein-Westfalen,NA,Direkt
149,"Müller, Florian Matthias",CDU,37.1,Nordrhein-Westfalen,NA,Direkt
90,"Rachel, Thomas Walther",CDU,36.7,Nordrhein-Westfalen,NA,Direkt
130,"Rehbaum, Henning",CDU,36.3,Nordrhein-Westfalen,NA,Direkt
108,"Gröhe, Gottfried Hermann",CDU,35.8,Nordrhein-Westfalen,NA,Direkt
111,"Dr. Plum, Martin",CDU,35.8,Nordrhein-Westfalen,NA,Direkt
109,"Dr. Krings, Günter",CDU,35.6,Nordrhein-Westfalen,NA,Direkt
92,"Seif, Detlef",CDU,34.6,Nordrhein-Westfalen,NA,Direkt
128,"Karliczek, Anja Maria-Antonia",CDU,34,Nordrhein-Westfalen,NA,Direkt
99,"Dr. Brodesser, Carsten",CDU,33.9,Nordrhein-Westfalen,NA,Direkt
148,"Klein, Volkmar",CDU,33.6,Nordrhein-Westfalen,NA,Direkt
150,"Ziemiak, Paul",CDU,33.6,Nordrhein-Westfalen,NA,Direkt
110,"Heveling, Ansgar Guido Karl Johannes",CDU,33.4,Nordrhein-Westfalen,NA,Direkt
146,"Thies, Hans-Jürgen",CDU,33.1,Nordrhein-Westfalen,NA,Direkt
91,"Dr. Kippels, Georg",CDU,33,Nordrhein-Westfalen,NA,Direkt
97,"Winkelmeier-Becker, Elisabeth",CDU,32.6,Nordrhein-Westfalen,NA,Direkt
105,"Beyer, Peter",CDU,31.3,Nordrhein-Westfalen,NA,Direkt
106,"Jarzombek, Thomas",CDU,31.1,Nordrhein-Westfalen,NA,Direkt
120,"Hauer, Matthias",CDU,30.7,Nordrhein-Westfalen,NA,Direkt
100,"Dr. Tebroke, Hermann-Josef Johann",CDU,30,Nordrhein-Westfalen,NA,Direkt
