Wahlkreisnummere,Nachname,Vorname,Name,Partei,Stimmenanteil,Bundesland,ausgeschieden
241,Auernhammer, Artur,"Auernhammer, Artur",CSU,38.4,Bayern,
242,Müller, Stefan,"Müller, Stefan",CSU,35.1,Bayern,
243,Winkler, Tobias,"Winkler, Tobias",CSU,33.5,Bayern,
244,Brehm, Sebastian,"Brehm, Sebastian",CSU,28.5,Bayern,
245,Frieser, Michael,"Frieser, Michael",CSU,34.4,Bayern,
246,Edelhäußer, Ralph,"Edelhäußer, Ralph",CSU,38,Bayern,
247,Lindholz, Andrea,"Lindholz, Andrea",CSU,40.7,Bayern,
248,Bär, Dorothee Gisela Renate Maria,"Bär, Dorothee Gisela Renate Maria",CSU,39.1,Bayern,
249,Hoffmann, Alexander,"Hoffmann, Alexander",CSU,38.6,Bayern,
250,Dr. Weisgerber, Anja,"Dr. Weisgerber, Anja",CSU,40.9,Bayern,
251,Lehrieder, Paul Alois,"Lehrieder, Paul Alois",CSU,36.9,Bayern,
252,Dr. Ullrich, Volker Michael,"Dr. Ullrich, Volker Michael",CSU,28.1,Bayern,
253,Durz, Hansjörg,"Durz, Hansjörg",CSU,40.6,Bayern,
254,Lange, Ulrich,"Lange, Ulrich",CSU,41.1,Bayern,
255,Engelhard, Alexander,"Engelhard, Alexander",CSU,37.2,Bayern,
256,Wittmann, Mechthilde,"Wittmann, Mechthilde",CSU,29.7,Bayern,
257,Stracke, Stephan,"Stracke, Stephan",CSU,38.8,Bayern,
75,Steinmüller, Hanna,"Steinmüller, Hanna",GRÜNE,30.6,Berlin,
76,Gelbhaar, Stefan,"Gelbhaar, Stefan",GRÜNE,26.8,Berlin,
77,Grütters, Monika,"Grütters, Monika",CDU,29.5,Berlin,
78,Kleebank, Helmut,"Kleebank, Helmut",SPD,32.6,Berlin,
79,Heilmann, Thomas,"Heilmann, Thomas",CDU,28.6,Berlin,
80,Müller, Rainer Michael,"Müller, Rainer Michael",SPD,25.6,Berlin,
81,Kühnert, Kevin,"Kühnert, Kevin",SPD,26.7,Berlin,
82,Demir, Hakan,"Demir, Hakan",SPD,25.8,Berlin,
83,Bayram, Canan,"Bayram, Canan",GRÜNE,37.8,Berlin,
84,Gysi, Gregor,"Gysi, Gregor",DIE LINKE,35.4,Berlin,
85,Czaja, Mario,"Czaja, Mario",CDU,29.7,Berlin,
