"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Dr. Faber, Marcus","1984","FDP","Land Sachsen-Anhalt (Platz 1)","Wahlkreis 066"
"Fahimi, Yasmin (Mandat verzichtet)","1967","SPD","Wahlkreis 042 (32,9 %)","Land Niedersachsen (Platz 8)"
"Färber, Hermann","1963","CDU","Wahlkreis 263 (31,0 %)",""
"Farle, Robert","1950","AfD","Wahlkreis 074 (25,1 %)",""
"Fäscher, Ariane","1968","SPD","Wahlkreis 058 (26,3 %)","Land Brandenburg (Platz 10)"
"Dr. Fechner, Johannes","1972","SPD","Land Baden-Württemberg (Platz 6)","Wahlkreis 283"
"Feiler, Uwe Wolfgang Werner","1965","CDU","Land Brandenburg (Platz 2)","Wahlkreis 058"
"Felser, Peter","1969","AfD","Land Bayern (Platz 11)",""
"Ferlemann, Enak Matthias","1963","CDU","Land Niedersachsen (Platz 5)","Wahlkreis 029"
"Ferschl, Susanne","1973","DIE LINKE","Land Bayern (Platz 3)","Wahlkreis 257"
"Fester, Emilia Johanna","1998","GRÜNE","Land Hamburg (Platz 3)",""
"Fiedler, Sebastian","1973","SPD","Wahlkreis 118 (36,3 %)","Land Nordrhein-Westfalen (Platz 62)"
"Föst, Daniel Wolfgang","1976","FDP","Land Bayern (Platz 1)","Wahlkreis 217"
"Dr. Franke, Edgar Konrad Hartmut","1960","SPD","Wahlkreis 170 (39,3 %)","Land Hessen (Platz 11)"
"Frei, Thorsten","1973","CDU","Wahlkreis 286 (36,4 %)",""
"Fricke, Otto","1965","FDP","Land Nordrhein-Westfalen (Platz 7)","Wahlkreis 110"
"Friedhoff, Dietmar","1966","AfD","Land Niedersachsen (Platz 4)","Wahlkreis 043"
"Dr. Friedrich, Hans-Peter","1957","CSU","Wahlkreis 239 (41,2 %)","Land Bayern (Platz 5)"
"Frieser, Michael","1964","CSU","Wahlkreis 245 (34,4 %)","Land Bayern (Platz 13)"
"Frohnmaier, Markus-Cornel","1991","AfD","Land Baden-Württemberg (Platz 4)","Wahlkreis 260"
"Dr. Frömming, Götz","1968","AfD","Land Berlin (Platz 3)","Wahlkreis 076"
"Funke genannt Kaiser, Maximilian Ludwig","1993","FDP","Land Bayern (Platz 11)",""
"Funke, Fabian","1997","SPD","Land Sachsen (Platz 7)","Wahlkreis 158"
