"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Haase, Christian","1966","CDU","Wahlkreis 136 (40,1 %)",""
"Habeck, Robert","1969","GRÜNE","Wahlkreis 001 (28,1 %)","Land Schleswig-Holstein (Platz 2)"
"Hacker, Thomas","1967","FDP","Land Bayern (Platz 13)","Wahlkreis 237"
"Hagedorn, Bettina","1955","SPD","Wahlkreis 009 (33,7 %)","Land Schleswig-Holstein (Platz 4)"
"Hagl-Kehl, Rita Andrea","1970","SPD","Land Bayern (Platz 6)","Wahlkreis 227"
"Dr. Hahn, André","1963","DIE LINKE","Land Sachsen (Platz 4)","Wahlkreis 158"
"Hahn, Florian Peter","1974","CSU","Wahlkreis 221 (39,1 %)","Land Bayern (Platz 7)"
"Hakverdi, Metin","1969","SPD","Wahlkreis 023 (39,3 %)","Land Hamburg (Platz 6)"
"Hanke, Reginald Karl Heinz (Mandat verzichtet)","1956","FDP","Land Thüringen (Platz 2)","Wahlkreis 195"
"Harder-Kühnel, Mariana Iris","1974","AfD","Land Hessen (Platz 1)","Wahlkreis 175"
"Hardt, Jürgen","1963","CDU","Land Nordrhein-Westfalen (Platz 22)","Wahlkreis 103"
"Hartewig, Philipp","1994","FDP","Land Sachsen (Platz 3)","Wahlkreis 161"
"Hartmann, Sebastian","1977","SPD","Land Nordrhein-Westfalen (Platz 3)","Wahlkreis 097"
"Harzer, Ulrike","1968","FDP","Land Sachsen (Platz 4)","Wahlkreis 164"
"Haßelmann, Britta Maria","1961","GRÜNE","Land Nordrhein-Westfalen (Platz 1)","Wahlkreis 132"
"Hauer, Matthias","1977","CDU","Wahlkreis 120 (30,7 %)","Land Nordrhein-Westfalen (Platz 11)"
"Haug, Jochen","1973","AfD","Land Nordrhein-Westfalen (Platz 11)","Wahlkreis 095"
"Dr. Heck, Stefan","1982","CDU","Land Hessen (Platz 7)","Wahlkreis 171"
"Heidenblut, Dirk","1961","SPD","Wahlkreis 119 (37,8 %)","Land Nordrhein-Westfalen (Platz 65)"
"Heidt, Peter","1965","FDP","Land Hessen (Platz 7)","Wahlkreis 177"
"Heil, Mechthild","1961","CDU","Wahlkreis 198 (34,3 %)","Land Rheinland-Pfalz (Platz 5)"
"Heil, Wolfgang-Hubertus","1972","SPD","Wahlkreis 045 (43,7 %)","Land Niedersachsen (Platz 1)"
"Heiligenstadt, Frauke","1966","SPD","Wahlkreis 052 (36,7 %)","Land Niedersachsen (Platz 10)"
"Heilmann, Thomas","1964","CDU","Wahlkreis 079 (28,6 %)","Land Berlin (Platz 4)"
"Heinrich, Gabriela","1963","SPD","Land Bayern (Platz 8)","Wahlkreis 244"
"Heitmann, Linda","1982","GRÜNE","Wahlkreis 019 (29,7 %)","Land Hamburg (Platz 5)"
"Helferich, Matthias","1988","AfD","Land Nordrhein-Westfalen (Platz 7)","Wahlkreis 143"
"Helfrich, Mark","1978","CDU","Wahlkreis 003 (29,2 %)","Land Schleswig-Holstein (Platz 7)"
"Helling-Plahr, Katrin","1986","FDP","Land Nordrhein-Westfalen (Platz 15)","Wahlkreis 138"
"Hellmich, Wolfgang","1958","SPD","Land Nordrhein-Westfalen (Platz 21)","Wahlkreis 146"
"Henneberger, Kathrin","1987","GRÜNE","Land Nordrhein-Westfalen (Platz 20)","Wahlkreis 109"
"Hennig, Anke","1964","SPD","Land Niedersachsen (Platz 18)","Wahlkreis 038"
"Hennig-Wellsow, Susanne Marianne","1977","DIE LINKE","Land Thüringen (Platz 1)","Wahlkreis 193"
"Hennrich, Michael (Mandat verzichtet)","1965","CDU","Wahlkreis 262 (30,1 %)",""
"Henrichmann, Marc","1976","CDU","Wahlkreis 127 (40,9 %)",""
"Herbrand, Markus","1971","FDP","Land Nordrhein-Westfalen (Platz 12)","Wahlkreis 092"
"Herbst, Torsten","1973","FDP","Land Sachsen (Platz 1)","Wahlkreis 159"
"Herrmann, Bernhard","1966","GRÜNE","Land Sachsen (Platz 2)","Wahlkreis 163"
"Heselhaus, Nadine","1978","SPD","Land Nordrhein-Westfalen (Platz 10)","Wahlkreis 126"
"Hess, Martin Alexander","1971","AfD","Land Baden-Württemberg (Platz 2)","Wahlkreis 265"
"Hessel, Katja","1972","FDP","Land Bayern (Platz 2)","Wahlkreis 244"
"Heveling, Ansgar Guido Karl Johannes","1972","CDU","Wahlkreis 110 (33,4 %)",""
"Hierl, Susanne","1973","CSU","Wahlkreis 232 (40,3 %)","Land Bayern (Platz 20)"
"Hilse, Karsten","1964","AfD","Wahlkreis 156 (33,4 %)","Land Sachsen (Platz 4)"
"Hirte, Christian","1976","CDU","Land Thüringen (Platz 1)","Wahlkreis 190"
"Hitschler, Thomas","1982","SPD","Wahlkreis 211 (28,2 %)","Land Rheinland-Pfalz (Platz 1)"
"Höchst, Nicole","1970","AfD","Land Rheinland-Pfalz (Platz 2)","Wahlkreis 201"
"Dr. Hocker, Gero Clemens","1975","FDP","Land Niedersachsen (Platz 6)","Wahlkreis 034"
"Höferlin, Manuel","1973","FDP","Land Rheinland-Pfalz (Platz 5)","Wahlkreis 206"
"Hoffmann, Alexander","1975","CSU","Wahlkreis 249 (38,6 %)",""
"Dr. Hoffmann, Bettina Martha Lieselotte","1960","GRÜNE","Land Hessen (Platz 1)","Wahlkreis 170"
"Dr. Hoffmann, Christoph","1957","FDP","Land Baden-Württemberg (Platz 9)","Wahlkreis 282"
"Dr. Hofreiter, Anton Gerhard","1970","GRÜNE","Land Bayern (Platz 2)","Wahlkreis 221"
"Holm, Leif-Erik","1970","AfD","Land Mecklenburg-Vorpommern (Platz 1)","Wahlkreis 015"
"Hönel, Bruno","1996","GRÜNE","Land Schleswig-Holstein (Platz 6)","Wahlkreis 011"
"Dr. Hoppenstedt, Hendrik","1972","CDU","Land Niedersachsen (Platz 1)","Wahlkreis 043"
"Hoppermann, Franziska Christina Brigitte","1982","CDU","Land Hamburg (Platz 2)","Wahlkreis 022"
"Hostert, Jasmina","1982","SPD","Land Baden-Württemberg (Platz 9)","Wahlkreis 260"
"Houben, Reinhard Arnold","1960","FDP","Land Nordrhein-Westfalen (Platz 8)","Wahlkreis 093"
"Huber, Johannes Josef","1987","AfD","Land Bayern (Platz 6)","Wahlkreis 214"
"Hubertz, Verena Ute","1987","SPD","Wahlkreis 203 (33,0 %)","Land Rheinland-Pfalz (Platz 6)"
"Hümpfer, Markus Klaus","1992","SPD","Land Bayern (Platz 21)","Wahlkreis 250"
"Hunko, Andrej Konstantin","1963","DIE LINKE","Land Nordrhein-Westfalen (Platz 4)","Wahlkreis 087"
"Hüppe, Hubert Wilhelm","1956","CDU","Land Nordrhein-Westfalen (Platz 21)","Wahlkreis 144"
"Huy, Rose Gerrit","1953","AfD","Land Bayern (Platz 12)","Wahlkreis 226"
