"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Dagdelen, Sevim","1975","DIE LINKE","Land Nordrhein-Westfalen (Platz 3)","Wahlkreis 140"
"Dr. Dahmen, Janosch","1981","GRÜNE","Land Nordrhein-Westfalen (Platz 24)","Wahlkreis 138"
"Daldrup, Bernhard","1956","SPD","Land Nordrhein-Westfalen (Platz 9)","Wahlkreis 130"
"Damerow, Astrid","1958","CDU","Wahlkreis 002 (30,4 %)","Land Schleswig-Holstein (Platz 2)"
"Deligöz, Ekin","1971","GRÜNE","Land Bayern (Platz 3)","Wahlkreis 255"
"Demir, Hakan","1984","SPD","Wahlkreis 082 (25,8 %)",""
"Dr. Detzer, Sandra","1980","GRÜNE","Land Baden-Württemberg (Platz 5)","Wahlkreis 265"
"Dr. Diaby, Karamba","1961","SPD","Wahlkreis 072 (28,8 %)","Land Sachsen-Anhalt (Platz 1)"
"Diedenhofen, Martin","1995","SPD","Land Rheinland-Pfalz (Platz 7)","Wahlkreis 197"
"Dieren, Jan Ulrich","1991","SPD","Wahlkreis 114 (35,2 %)","Land Nordrhein-Westfalen (Platz 49)"
"Dietz, Thomas","1967","AfD","Wahlkreis 164 (31,7 %)","Land Sachsen (Platz 13)"
"Dilcher, Esther","1965","SPD","Wahlkreis 167 (38,0 %)","Land Hessen (Platz 8)"
"Dittmar, Sabine","1964","SPD","Land Bayern (Platz 14)","Wahlkreis 248"
"Djir-Sarai, Bijan","1976","FDP","Land Nordrhein-Westfalen (Platz 6)","Wahlkreis 108"
"Dobrindt, Alexander","1970","CSU","Wahlkreis 226 (41,9 %)","Land Bayern (Platz 1)"
"Domscheit-Berg, Anke Margarete","1968","DIE LINKE","Land Brandenburg (Platz 2)","Wahlkreis 058"
"Donth, Michael","1967","CDU","Wahlkreis 289 (32,5 %)",""
"Döring, Felix Maximilian","1991","SPD","Wahlkreis 173 (30,4 %)","Land Hessen (Platz 17)"
"Dröge, Katharina","1984","GRÜNE","Land Nordrhein-Westfalen (Platz 5)","Wahlkreis 095"
"Droßmann, Falko","1973","SPD","Wahlkreis 018 (33,2 %)",""
"Düring, Deborah Saskia","1994","GRÜNE","Land Hessen (Platz 7)","Wahlkreis 182"
"Dürr, Christian","1977","FDP","Land Niedersachsen (Platz 1)","Wahlkreis 028"
"Durz, Hansjörg","1971","CSU","Wahlkreis 253 (40,6 %)",""
