"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Oehl, Jan Lennard","1993","SPD","Wahlkreis 180 (31,1 %)","Land Hessen (Platz 21)"
"Oellers, Wilfried","1975","CDU","Wahlkreis 089 (39,7 %)","Land Nordrhein-Westfalen (Platz 47)"
"Oppelt, Moritz Paul Georg","1989","CDU","Wahlkreis 277 (28,5 %)",""
"Ortleb, Josephine Loulou","1986","SPD","Wahlkreis 296 (36,9 %)","Land Saarland (Platz 2)"
"Oßner, Florian","1980","CSU","Wahlkreis 228 (36,4 %)",""
"Oster, Josef","1971","CDU","Wahlkreis 199 (31,7 %)","Land Rheinland-Pfalz (Platz 12)"
"Otte, Henning Rudolf Helmut","1968","CDU","Wahlkreis 044 (32,9 %)","Land Niedersachsen (Platz 13)"
"Otte, Karoline","1996","GRÜNE","Land Niedersachsen (Platz 9)","Wahlkreis 052"
"Otten, Gerold Joachim","1955","AfD","Land Bayern (Platz 9)","Wahlkreis 221"
"Özdemir, Cem","1965","GRÜNE","Wahlkreis 258 (39,9 %)","Land Baden-Württemberg (Platz 2)"
"Özdemir, Mahmut","1987","SPD","Wahlkreis 116 (39,4 %)","Land Nordrhein-Westfalen (Platz 64)"
"Özoğuz, Saliha Aydan","1967","SPD","Wahlkreis 022 (38,7 %)","Land Hamburg (Platz 1)"
