"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Dr. Nacke, Stefan","1976","CDU","Land Nordrhein-Westfalen (Platz 18)","Wahlkreis 129"
"Nanni, Sara","1987","GRÜNE","Land Nordrhein-Westfalen (Platz 17)","Wahlkreis 107"
"Nasr, Rasha","1992","SPD","Land Sachsen (Platz 4)","Wahlkreis 159"
"Nastić, Zaklin Jadwiga","1980","DIE LINKE","Land Hamburg (Platz 1)","Wahlkreis 020"
"Naujok, Edgar","1960","AfD","Wahlkreis 154 (24,6 %)","Land Sachsen (Platz 16)"
"Dr. Nestle, Ingrid Johanna","1977","GRÜNE","Land Schleswig-Holstein (Platz 3)","Wahlkreis 003"
"Dr. Nick, Ophelia Johanna","1973","GRÜNE","Land Nordrhein-Westfalen (Platz 13)","Wahlkreis 105"
"Nickholz, Brian","1989","SPD","Wahlkreis 122 (37,4 %)","Land Nordrhein-Westfalen (Platz 50)"
"Nicolaisen, Petra","1965","CDU","Land Schleswig-Holstein (Platz 4)","Wahlkreis 001"
"Nietan, Dietmar Heinrich","1964","SPD","Land Nordrhein-Westfalen (Platz 17)","Wahlkreis 090"
"Nolte, Jan Ralf","1988","AfD","Land Hessen (Platz 4)","Wahlkreis 167"
"Dr. von Notz, Konstantin","1971","GRÜNE","Land Schleswig-Holstein (Platz 4)","Wahlkreis 010"
"Nouripour, Omid","1975","GRÜNE","Wahlkreis 183 (29,0 %)","Land Hessen (Platz 2)"
"Nürnberger, Jörg Mathias","1967","SPD","Land Bayern (Platz 19)","Wahlkreis 239"
