"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Dr. Wadephul, Johann David","1963","CDU","Land Schleswig-Holstein (Platz 1)","Wahlkreis 004"
"Wagener, Niklas","1998","GRÜNE","Land Bayern (Platz 14)","Wahlkreis 247"
"Wagener, Robin Till Nils Johannes","1980","GRÜNE","Land Nordrhein-Westfalen (Platz 10)","Wahlkreis 135"
"Dr. Wagenknecht, Sahra","1969","DIE LINKE","Land Nordrhein-Westfalen (Platz 1)",""
"Dr. Wagner, Carolin","1982","SPD","Land Bayern (Platz 22)","Wahlkreis 233"
"Wagner, Johannes","1991","GRÜNE","Land Bayern (Platz 16)","Wahlkreis 238"
"Wallstein, Maja Scarlett","1986","SPD","Wahlkreis 064 (27,6 %)","Land Brandenburg (Platz 2)"
"Walter, Hannes Artur Gerhard","1984","SPD","Wahlkreis 065 (25,4 %)","Land Brandenburg (Platz 7)"
"Walter-Rosenheimer, Beate","1964","GRÜNE","Land Bayern (Platz 19)","Wahlkreis 215"
"Wanderwitz, Marco","1975","CDU","Land Sachsen (Platz 1)","Wahlkreis 163"
"Warken, Nina Ingrid","1979","CDU","Wahlkreis 276 (35,8 %)",""
"Weeser, Sandra","1969","FDP","Land Rheinland-Pfalz (Platz 4)","Wahlkreis 197"
"Wegge, Carmen","1989","SPD","Land Bayern (Platz 20)","Wahlkreis 224"
"Wegling, Melanie","1990","SPD","Wahlkreis 184 (33,5 %)","Land Hessen (Platz 18)"
"Weidel, Alice Elisabeth","1979","AfD","Land Baden-Württemberg (Platz 1)","Wahlkreis 293"
"Dr. Weingarten, Joe","1962","SPD","Wahlkreis 201 (33,0 %)","Land Rheinland-Pfalz (Platz 14)"
"Dr. Weisgerber, Anja","1976","CSU","Wahlkreis 250 (40,9 %)","Land Bayern (Platz 8)"
"Weishaupt, Saskia Lea Raquel","1993","GRÜNE","Land Bayern (Platz 11)",""
"Weiss, Maria-Lena","1981","CDU","Wahlkreis 285 (31,5 %)",""
"Weiss, Sabine Katharina","1958","CDU","Land Nordrhein-Westfalen (Platz 13)","Wahlkreis 113"
"Wenzel, Peer Stefan","1962","GRÜNE","Land Niedersachsen (Platz 10)","Wahlkreis 029"
"Werner, Lena","1994","SPD","Land Rheinland-Pfalz (Platz 10)","Wahlkreis 202"
"Westig, Nicole","1967","FDP","Land Nordrhein-Westfalen (Platz 10)","Wahlkreis 098"
"Westphal, Bernd Helmut","1960","SPD","Wahlkreis 048 (38,7 %)","Land Niedersachsen (Platz 13)"
"Dr. Weyel, Harald","1959","AfD","Land Nordrhein-Westfalen (Platz 9)","Wahlkreis 100"
"Whittaker, Kai Thorsten","1985","CDU","Wahlkreis 273 (33,2 %)",""
"Widmann-Mauz, Annette","1966","CDU","Wahlkreis 290 (27,0 %)","Land Baden-Württemberg (Platz 2)"
"Wiehle, Wolfgang","1964","AfD","Land Bayern (Platz 7)","Wahlkreis 219"
"Dr. Wiener, Klaus","1962","CDU","Wahlkreis 104 (30,0 %)","Land Nordrhein-Westfalen (Platz 51)"
"Wiese, Dirk","1983","SPD","Land Nordrhein-Westfalen (Platz 5)","Wahlkreis 147"
"Willsch, Klaus-Peter","1961","CDU","Wahlkreis 178 (30,2 %)","Land Hessen (Platz 9)"
"Winkelmeier-Becker, Elisabeth","1962","CDU","Wahlkreis 097 (32,6 %)","Land Nordrhein-Westfalen (Platz 5)"
"Winkler, Tobias","1978","CSU","Wahlkreis 243 (33,5 %)","Land Bayern (Platz 35)"
"Winklmann, Tina","1980","GRÜNE","Land Bayern (Platz 17)","Wahlkreis 234"
"Dr. Wirth, Christian Friedrich","1963","AfD","Land Saarland (Platz 1)","Wahlkreis 299"
"Dr. Wissing, Volker","1970","FDP","Land Rheinland-Pfalz (Platz 1)","Wahlkreis 211"
"Wißler, Janine Natalie","1981","DIE LINKE","Land Hessen (Platz 1)","Wahlkreis 182"
"Witt, Uwe","1959","AfD","Land Schleswig-Holstein (Platz 1)","Wahlkreis 009"
"Wittmann, Mechthilde","1967","CSU","Wahlkreis 256 (29,7 %)","Land Bayern (Platz 14)"
"Dr. Wollmann, Herbert","1951","SPD","Wahlkreis 066 (27,5 %)","Land Sachsen-Anhalt (Platz 8)"
"Wulf, Mareike Lotte","1979","CDU","Land Niedersachsen (Platz 9)","Wahlkreis 046"
"Wundrak, Franz Josef Joachim","1955","AfD","Land Niedersachsen (Platz 1)","Wahlkreis 026"
