"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Pahlke, Julian Nils Christoph","1991","GRÜNE","Land Niedersachsen (Platz 12)","Wahlkreis 025"
"Dr. Pantazis, Christos","1975","SPD","Wahlkreis 050 (36,7 %)","Land Niedersachsen (Platz 26)"
"Papenbrock, Wiebke","1979","SPD","Wahlkreis 056 (33,0 %)","Land Brandenburg (Platz 12)"
"Papendieck, Mathias","1982","SPD","Wahlkreis 063 (28,0 %)","Land Brandenburg (Platz 5)"
"Pau, Petra Angelika","1963","DIE LINKE","Land Berlin (Platz 1)","Wahlkreis 085"
"Paus, Elisabeth Maria","1968","GRÜNE","Land Berlin (Platz 1)","Wahlkreis 080"
"Pawlik, Natalie","1992","SPD","Wahlkreis 177 (29,7 %)","Land Hessen (Platz 6)"
"Peick, Jens","1981","SPD","Wahlkreis 142 (33,0 %)","Land Nordrhein-Westfalen (Platz 57)"
"Pellmann, Sören","1977","DIE LINKE","Wahlkreis 153 (22,8 %)","Land Sachsen (Platz 2)"
"Perli, Victor Angelo","1982","DIE LINKE","Land Niedersachsen (Platz 2)","Wahlkreis 049"
"Peterka, Tobias Matthias","1982","AfD","Land Bayern (Platz 10)","Wahlkreis 237"
"Petry, Christian","1965","SPD","Wahlkreis 298 (35,1 %)","Land Saarland (Platz 3)"
"Dr. Philippi, Andreas Milan Gerhard (Mandat verzichtet)","1965","SPD","Wahlkreis 053 (32,2 %)","Land Niedersachsen (Platz 17)"
"Dr. Piechotta, Paula Louise","1986","GRÜNE","Land Sachsen (Platz 1)","Wahlkreis 153"
"Pilsinger, Stephan Nikolaus","1987","CSU","Wahlkreis 220 (27,0 %)","Land Bayern (Platz 17)"
"Plobner, Jan Heinz Stefan","1992","SPD","Land Bayern (Platz 23)","Wahlkreis 246"
"Dr. Ploß, Christoph Johannes","1985","CDU","Land Hamburg (Platz 1)","Wahlkreis 021"
"Dr. Plum, Martin","1982","CDU","Wahlkreis 111 (35,8 %)","Land Nordrhein-Westfalen (Platz 48)"
"Pohl, Jürgen Hans","1964","AfD","Land Thüringen (Platz 2)","Wahlkreis 189"
"Polat, Filiz","1978","GRÜNE","Land Niedersachsen (Platz 1)","Wahlkreis 038"
"Poschmann, Sabine","1968","SPD","Wahlkreis 143 (39,1 %)","Land Nordrhein-Westfalen (Platz 6)"
"Post, Achim Jürgen","1959","SPD","Wahlkreis 134 (38,4 %)","Land Nordrhein-Westfalen (Platz 13)"
"Protschka, Stephan","1977","AfD","Land Bayern (Platz 3)","Wahlkreis 230"
