"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Meyer, Christoph Werner","1975","FDP","Land Berlin (Platz 1)","Wahlkreis 080"
"Miazga, Corinna (verstorben)","1983","AfD","Land Bayern (Platz 2)","Wahlkreis 231"
"Michaelsen, Swantje Henrike","1979","GRÜNE","Land Niedersachsen (Platz 11)","Wahlkreis 041"
"Michel, Susanne Kathrin","1963","SPD","Land Sachsen (Platz 2)","Wahlkreis 156"
"Dr. Middelberg, Mathias Wolfgang Antonius","1964","CDU","Land Niedersachsen (Platz 4)","Wahlkreis 039"
"Dr. Miersch, Matthias","1968","SPD","Wahlkreis 047 (40,7 %)","Land Niedersachsen (Platz 3)"
"Mieves, Matthias David","1985","SPD","Wahlkreis 209 (33,9 %)","Land Rheinland-Pfalz (Platz 9)"
"Dr. Mihalic, Irene","1976","GRÜNE","Land Nordrhein-Westfalen (Platz 3)","Wahlkreis 123"
"Mijatović, Boris","1974","GRÜNE","Land Hessen (Platz 8)","Wahlkreis 168"
"Mittag, Susanne","1958","SPD","Wahlkreis 028 (36,7 %)","Land Niedersachsen (Platz 2)"
"Mohamed Ali, Amira","1980","DIE LINKE","Land Niedersachsen (Platz 1)","Wahlkreis 027"
"Möhring, Cornelia","1960","DIE LINKE","Land Schleswig-Holstein (Platz 1)","Wahlkreis 007"
"Mohrs, Falko (Mandat verzichtet)","1984","SPD","Wahlkreis 051 (42,1 %)","Land Niedersachsen (Platz 19)"
"Moll, Claudia","1968","SPD","Wahlkreis 088 (34,5 %)","Land Nordrhein-Westfalen (Platz 8)"
"Möller, Siemtje Victoria Regine Ilse Santjer","1983","SPD","Wahlkreis 026 (45,4 %)","Land Niedersachsen (Platz 6)"
"Moncsek, Mike","1964","AfD","Wahlkreis 163 (28,9 %)","Land Sachsen (Platz 14)"
"Monstadt, Dietrich","1957","CDU","Land Mecklenburg-Vorpommern (Platz 2)","Wahlkreis 012"
"Moosdorf, Matthias","1965","AfD","Wahlkreis 165 (25,6 %)",""
"Mordhorst, Maximilian","1996","FDP","Land Schleswig-Holstein (Platz 4)","Wahlkreis 005"
"Mörseburg, Maximilian Rick","1992","CDU","Wahlkreis 259 (25,9 %)",""
"Müller, Alexander","1969","FDP","Land Hessen (Platz 4)","Wahlkreis 178"
"Müller, Axel Karl","1963","CDU","Wahlkreis 294 (30,6 %)",""
"Müller, Bettina","1959","SPD","Wahlkreis 175 (30,5 %)","Land Hessen (Platz 4)"
"Müller, Carsten","1970","CDU","Land Niedersachsen (Platz 8)","Wahlkreis 050"
"Müller, Claudia Heike","1981","GRÜNE","Land Mecklenburg-Vorpommern (Platz 1)","Wahlkreis 015"
"Müller, Detlef","1964","SPD","Wahlkreis 162 (25,1 %)","Land Sachsen (Platz 3)"
"Müller, Florian Matthias","1987","CDU","Wahlkreis 149 (37,1 %)",""
"Müller, Rainer Michael","1964","SPD","Wahlkreis 080 (25,6 %)","Land Berlin (Platz 1)"
"Müller, Sascha","1970","GRÜNE","Land Bayern (Platz 6)","Wahlkreis 245"
"Müller, Sepp","1989","CDU","Wahlkreis 070 (34,3 %)","Land Sachsen-Anhalt (Platz 5)"
"Müller, Stefan","1975","CSU","Wahlkreis 242 (35,1 %)","Land Bayern (Platz 9)"
"Müller-Gemmeke, Beate","1960","GRÜNE","Land Baden-Württemberg (Platz 6)","Wahlkreis 289"
"Müller-Rosentritt, Frank","1982","FDP","Land Sachsen (Platz 2)","Wahlkreis 162"
"Müntefering, Michelle-Jasmin Gabriele","1980","SPD","Wahlkreis 141 (43,4 %)","Land Nordrhein-Westfalen (Platz 36)"
"Münzenmaier, Sebastian","1989","AfD","Land Rheinland-Pfalz (Platz 1)","Wahlkreis 205"
"Dr. Mützenich, Rolf Heinrich","1959","SPD","Wahlkreis 095 (29,9 %)","Land Nordrhein-Westfalen (Platz 1)"
