"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Maas, Heiko Josef (Mandat verzichtet)","1966","SPD","Wahlkreis 297 (36,7 %)","Land Saarland (Platz 1)"
"Dr. Machalet, Tanja","1974","SPD","Wahlkreis 204 (31,5 %)","Land Rheinland-Pfalz (Platz 2)"
"Mack, Klaus","1973","CDU","Wahlkreis 280 (33,8 %)",""
"Mackensen-Geis, Isabel Larissa","1986","SPD","Land Rheinland-Pfalz (Platz 4)","Wahlkreis 208"
"Magwas, Yvonne","1979","CDU","Wahlkreis 166 (27,7 %)","Land Sachsen (Platz 4)"
"von Malottki, Erik","1986","SPD","Wahlkreis 016 (24,8 %)","Land Mecklenburg-Vorpommern (Platz 3)"
"Mann, Holger","1979","SPD","Land Sachsen (Platz 1)","Wahlkreis 152"
"Mansmann, Till Berthold","1968","FDP","Land Hessen (Platz 3)","Wahlkreis 188"
"Mansoori, Kaweh (Mandat verzichtet)","1988","SPD","Land Hessen (Platz 3)","Wahlkreis 183"
"Martens, Zanda","1984","SPD","Land Nordrhein-Westfalen (Platz 28)","Wahlkreis 106"
"Martin, Dorothee Katja Julia","1978","SPD","Wahlkreis 021 (30,7 %)","Land Hamburg (Platz 3)"
"Marvi, Parsa","1982","SPD","Land Baden-Württemberg (Platz 12)","Wahlkreis 271"
"Mascheck, Franziska","1979","SPD","Land Sachsen (Platz 8)","Wahlkreis 154"
"Mast, Katja Wilma","1971","SPD","Land Baden-Württemberg (Platz 5)","Wahlkreis 279"
"Mattfeldt, Andreas","1969","CDU","Wahlkreis 034 (33,7 %)","Land Niedersachsen (Platz 21)"
"Mayer, Stephan","1973","CSU","Wahlkreis 212 (43,3 %)",""
"Mayer, Zoe","1995","GRÜNE","Wahlkreis 271 (30,0 %)","Land Baden-Württemberg (Platz 12)"
"Mayer-Lay, Volker","1981","CDU","Wahlkreis 293 (30,4 %)",""
"Mehltretter, Andreas","1991","SPD","Land Bayern (Platz 15)","Wahlkreis 214"
"Mehmet Ali, Takis","1991","SPD","Land Baden-Württemberg (Platz 22)","Wahlkreis 282"
"Dr. Meister, Michael Günther","1961","CDU","Wahlkreis 188 (30,5 %)","Land Hessen (Platz 3)"
"Menge, Patrizia Susanne","1960","GRÜNE","Land Niedersachsen (Platz 13)","Wahlkreis 027"
"Merten, Anikó","1982","FDP","Land Niedersachsen (Platz 8)","Wahlkreis 050"
"Merz, Joachim-Friedrich Martin Josef","1955","CDU","Wahlkreis 147 (40,4 %)",""
"Mesarosch, Robin","1991","SPD","Land Baden-Württemberg (Platz 16)","Wahlkreis 295"
"Metzler, Jan","1981","CDU","Wahlkreis 206 (32,2 %)","Land Rheinland-Pfalz (Platz 6)"
