"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Dr. Verlinden, Julia Maria Kornelia","1979","GRÜNE","Land Niedersachsen (Platz 5)","Wahlkreis 037"
"Vieregge, Kerstin","1976","CDU","Land Nordrhein-Westfalen (Platz 17)","Wahlkreis 135"
"Vogel, Johannes","1982","FDP","Land Nordrhein-Westfalen (Platz 5)","Wahlkreis 149"
"Vogler, Kathrin","1963","DIE LINKE","Land Nordrhein-Westfalen (Platz 5)","Wahlkreis 128"
"Dr. Vogt, Oliver","1977","CDU","Land Nordrhein-Westfalen (Platz 19)","Wahlkreis 134"
"Völlers, Marja-Liisa","1984","SPD","Wahlkreis 040 (35,3 %)","Land Niedersachsen (Platz 16)"
"Vöpel, Dirk","1971","SPD","Wahlkreis 117 (38,8 %)","Land Nordrhein-Westfalen (Platz 63)"
"de Vries, Christoph Bernhard","1974","CDU","Land Hamburg (Platz 3)","Wahlkreis 018"
