Wahlkreisnummere,Name,Partei,Stimmenanteil,Bundesland,Listenplatz,Art
221,"Dr. Hofreiter, Anton Gerhard",GRÜNE,NA,Bayern,2,Liste
255,"Deligöz, Ekin",GRÜNE,NA,Bayern,3,Liste
220,"Janecek, Dieter Gerald",GRÜNE,NA,Bayern,4,Liste
248,"Dr. Rottmann, Manuela",GRÜNE,NA,Bayern,5,Liste
245,"Müller, Sascha",GRÜNE,NA,Bayern,6,Liste
231,"Grundl, Erhard",GRÜNE,NA,Bayern,8,Liste
236,"Badum, Lisa Hildegard",GRÜNE,NA,Bayern,9,Liste
233,"Schmidt, Stefan",GRÜNE,NA,Bayern,10,Liste
NA,"Weishaupt, Saskia Lea Raquel",GRÜNE,NA,Bayern,11,Liste
223,"Bär, Karl",GRÜNE,NA,Bayern,12,Liste
244,"Ganserer, Markus (Tessa)",GRÜNE,NA,Bayern,13,Liste
247,"Wagener, Niklas",GRÜNE,NA,Bayern,14,Liste
230,"Schönberger, Marlene Edeltraud",GRÜNE,NA,Bayern,15,Liste
238,"Wagner, Johannes",GRÜNE,NA,Bayern,16,Liste
258,"Özdemir, Cem",GRÜNE,399,Baden-Württemberg,NA,Direkt
274,"Dr. Brantner, Franziska Katharina",GRÜNE,302,Baden-Württemberg,NA,Direkt
281,"Kopf, Chantal Johanna Siglinde",GRÜNE,288,Baden-Württemberg,NA,Direkt
271,"Mayer, Zoe",GRÜNE,30,Baden-Württemberg,NA,Direkt
294,"Brugger, Agnes Monika",GRÜNE,NA,Baden-Württemberg,3,Liste
290,"Kühn, Christian",GRÜNE,NA,Baden-Württemberg,4,Liste
265,"Dr. Detzer, Sandra",GRÜNE,NA,Baden-Württemberg,5,Liste
289,"Müller-Gemmeke, Beate",GRÜNE,NA,Baden-Württemberg,6,Liste
268,"Ebner, Harald",GRÜNE,NA,Baden-Württemberg,7,Liste
259,"Dr. Christmann, Anna Maria",GRÜNE,NA,Baden-Württemberg,8,Liste
262,"Gastel, Matthias",GRÜNE,NA,Baden-Württemberg,9,Liste
269,"Lang, Ricarda",GRÜNE,NA,Baden-Württemberg,10,Liste
291,"Emmerich, Marcel",GRÜNE,NA,Baden-Württemberg,11,Liste
260,"Bacherle, Tobias Björn",GRÜNE,NA,Baden-Württemberg,13,Liste
279,"Aeffner, Stephanie",GRÜNE,NA,Baden-Württemberg,15,Liste
240,"Zeulner, Emmi",CSU,478,Bayern,NA,Direkt
216,"Dr. Brandl, Reinhard",CSU,449,Bayern,NA,Direkt
231,"Rainer, Alois Georg Josef",CSU,443,Bayern,NA,Direkt
212,"Mayer, Stephan",CSU,433,Bayern,NA,Direkt
237,"Dr. Launert, Silke",CSU,424,Bayern,NA,Direkt
213,"Dr. Lenz, Andreas",CSU,423,Bayern,NA,Direkt
226,"Dobrindt, Alexander",CSU,419,Bayern,NA,Direkt
223,"Radwan, Alexander Gamal",CSU,413,Bayern,NA,Direkt
239,"Dr. Friedrich, Hans-Peter",CSU,412,Bayern,NA,Direkt
254,"Lange, Ulrich",CSU,411,Bayern,NA,Direkt
250,"Dr. Weisgerber, Anja",CSU,409,Bayern,NA,Direkt
247,"Lindholz, Andrea",CSU,407,Bayern,NA,Direkt
253,"Durz, Hansjörg",CSU,406,Bayern,NA,Direkt
232,"Hierl, Susanne",CSU,403,Bayern,NA,Direkt
221,"Hahn, Florian Peter",CSU,391,Bayern,NA,Direkt
248,"Bär, Dorothee Gisela Renate Maria",CSU,391,Bayern,NA,Direkt
257,"Stracke, Stephan",CSU,388,Bayern,NA,Direkt
249,"Hoffmann, Alexander",CSU,386,Bayern,NA,Direkt
235,"Rupprecht, Albert Robert",CSU,385,Bayern,NA,Direkt
241,"Auernhammer, Artur",CSU,384,Bayern,NA,Direkt
224,"Kießling, Michael",CSU,382,Bayern,NA,Direkt
227,"Erndl, Thomas Maximilian",CSU,374,Bayern,NA,Direkt
255,"Engelhard, Alexander",CSU,372,Bayern,NA,Direkt
251,"Lehrieder, Paul Alois",CSU,369,Bayern,NA,Direkt
225,"Dr. Ramsauer, Peter",CSU,366,Bayern,NA,Direkt
238,"Dr. Geissler, Jonas Alexander Tecumseh",CSU,365,Bayern,NA,Direkt
228,"Oßner, Florian",CSU,364,Bayern,NA,Direkt
214,"Irlstorfer, Erich",CSU,362,Bayern,NA,Direkt
222,"Ludwig, Daniela",CSU,361,Bayern,NA,Direkt
233,"Aumer, Peter",CSU,353,Bayern,NA,Direkt
230,"Straubinger, Max",CSU,351,Bayern,NA,Direkt
234,"Englhardt-Kopf, Martina",CSU,351,Bayern,NA,Direkt
242,"Müller, Stefan",CSU,351,Bayern,NA,Direkt
245,"Frieser, Michael",CSU,344,Bayern,NA,Direkt
243,"Winkler, Tobias",CSU,335,Bayern,NA,Direkt
218,"Dr. Stefinger, Wolfgang Dieter",CSU,317,Bayern,NA,Direkt
1,"Seidler, Stefan",SSW,NA,Schleswig-Holstein,1,Liste
