"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Tatti, Jessica Nadine","1981","DIE LINKE","Land Baden-Württemberg (Platz 3)","Wahlkreis 289"
"Tausend, Claudia Rosina","1964","SPD","Land Bayern (Platz 10)","Wahlkreis 218"
"Dr. Tebroke, Hermann-Josef Johann","1964","CDU","Wahlkreis 100 (30,0 %)","Land Nordrhein-Westfalen (Platz 41)"
"Tesfaiesus, Awet","1974","GRÜNE","Land Hessen (Platz 9)","Wahlkreis 169"
"Teuteberg, Linda","1981","FDP","Land Brandenburg (Platz 1)","Wahlkreis 061"
"Teutrine, Jens","1993","FDP","Land Nordrhein-Westfalen (Platz 18)","Wahlkreis 133"
"Theurer, Michael Alexander","1967","FDP","Land Baden-Württemberg (Platz 1)","Wahlkreis 271"
"Thews, Michael Eckardt","1964","SPD","Wahlkreis 145 (40,6 %)","Land Nordrhein-Westfalen (Platz 48)"
"Thies, Hans-Jürgen","1955","CDU","Wahlkreis 146 (33,1 %)","Land Nordrhein-Westfalen (Platz 31)"
"Thomae, Stephan","1968","FDP","Land Bayern (Platz 6)","Wahlkreis 256"
"Throm, Alexander Richard","1968","CDU","Wahlkreis 267 (27,8 %)","Land Baden-Württemberg (Platz 13)"
"Tillmann, Antje","1964","CDU","Land Thüringen (Platz 2)","Wahlkreis 193"
"Timmermann-Fechter, Astrid","1963","CDU","Land Nordrhein-Westfalen (Platz 10)","Wahlkreis 118"
"Tippelt, Nico","1967","FDP","Land Sachsen (Platz 5)","Wahlkreis 165"
"Todtenhausen, Manfred","1950","FDP","Land Nordrhein-Westfalen (Platz 19)","Wahlkreis 102"
"Dr. Toncar, Florian","1979","FDP","Land Baden-Württemberg (Platz 5)","Wahlkreis 260"
"Töns, Markus","1964","SPD","Wahlkreis 123 (40,5 %)","Land Nordrhein-Westfalen (Platz 56)"
"Träger, Carsten Dietmar","1973","SPD","Land Bayern (Platz 3)","Wahlkreis 243"
"Trittin, Jürgen (Mandat verzichtet)","1954","GRÜNE","Land Niedersachsen (Platz 4)","Wahlkreis 053"
"Troff-Schaffarzyk, Anja","1969","SPD","Land Niedersachsen (Platz 14)","Wahlkreis 025"
"Türk-Nachbaur, Derya","1973","SPD","Land Baden-Württemberg (Platz 19)","Wahlkreis 286"
