"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Bacherle, Tobias Björn","1994","GRÜNE","Land Baden-Württemberg (Platz 13)","Wahlkreis 260"
"Bachmann, Carolin","1988","AfD","Wahlkreis 161 (33,4 %)",""
"Badum, Lisa Hildegard","1983","GRÜNE","Land Bayern (Platz 9)","Wahlkreis 236"
"Baehrens, Heike Charlotte","1955","SPD","Land Baden-Württemberg (Platz 13)","Wahlkreis 263"
"Baerbock, Annalena Charlotte Alma","1980","GRÜNE","Land Brandenburg (Platz 1)","Wahlkreis 061"
"Bahr, Ulrike Renate Martina","1964","SPD","Land Bayern (Platz 16)","Wahlkreis 252"
"Baldy, Daniel","1994","SPD","Wahlkreis 205 (24,9 %)","Land Rheinland-Pfalz (Platz 5)"
"Banaszak, Felix","1989","GRÜNE","Land Nordrhein-Westfalen (Platz 6)","Wahlkreis 116"
"Bär, Dorothee Gisela Renate Maria","1978","CSU","Wahlkreis 248 (39,1 %)","Land Bayern (Platz 2)"
"Bär, Karl","1985","GRÜNE","Land Bayern (Platz 12)","Wahlkreis 223"
"Baradari, Nezahat","1965","SPD","Land Nordrhein-Westfalen (Platz 26)","Wahlkreis 149"
"Bareiß, Thomas","1975","CDU","Wahlkreis 295 (30,1 %)",""
"Bartol, Sören","1974","SPD","Wahlkreis 171 (36,9 %)","Land Hessen (Platz 5)"
"Dr. Bartsch, Dietmar Gerhard","1958","DIE LINKE","Land Mecklenburg-Vorpommern (Platz 1)","Wahlkreis 014"
"Bas, Bärbel","1968","SPD","Wahlkreis 115 (40,3 %)","Land Nordrhein-Westfalen (Platz 12)"
"Bauer, Nicole Anna Elisabeth","1987","FDP","Land Bayern (Platz 7)","Wahlkreis 228"
"Dr. Baum, Christina","1956","AfD","Land Baden-Württemberg (Platz 8)","Wahlkreis 276"
"Dr. Baumann, Bernd","1958","AfD","Land Hamburg (Platz 1)","Wahlkreis 019"
