"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Bayram, Canan","1966","GRÜNE","Wahlkreis 083 (37,8 %)",""
"Beck, Katharina Barbara Maria","1982","GRÜNE","Land Hamburg (Platz 1)","Wahlkreis 021"
"Beckamp, Roger Friedrich Nikolaus","1975","AfD","Land Nordrhein-Westfalen (Platz 8)","Wahlkreis 098"
"Dr. Becker, Holger","1964","SPD","Wahlkreis 191 (20,1 %)","Land Thüringen (Platz 5)"
"Beeck, Jens","1969","FDP","Land Niedersachsen (Platz 2)","Wahlkreis 031"
"in der Beek, Olaf Karl Wilhelm","1967","FDP","Land Nordrhein-Westfalen (Platz 17)","Wahlkreis 140"
"Benner, Lukas","1996","GRÜNE","Land Nordrhein-Westfalen (Platz 26)","Wahlkreis 088"
"Berghahn, Jürgen","1960","SPD","Wahlkreis 135 (30,7 %)","Land Nordrhein-Westfalen (Platz 46)"
"Dr. Berghegger, André (Mandat verzichtet)","1972","CDU","Wahlkreis 038 (36,2 %)","Land Niedersachsen (Platz 22)"
"Bergt, Bengt Axel","1982","SPD","Wahlkreis 008 (32,0 %)","Land Schleswig-Holstein (Platz 9)"
"Bernhard, Marc Albert","1972","AfD","Land Baden-Württemberg (Platz 6)","Wahlkreis 271"
"Beyer, Peter","1970","CDU","Wahlkreis 105 (31,3 %)","Land Nordrhein-Westfalen (Platz 28)"
"Biadacz, Marc Josef","1979","CDU","Wahlkreis 260 (29,7 %)",""
"Bilger, Steffen Rudi","1979","CDU","Wahlkreis 265 (29,5 %)","Land Baden-Württemberg (Platz 4)"
"Birkwald, Matthias Walter","1961","DIE LINKE","Land Nordrhein-Westfalen (Platz 2)","Wahlkreis 094"
"Blankenburg, Jakob","1997","SPD","Wahlkreis 037 (28,2 %)","Land Niedersachsen (Platz 15)"
"Bleck, Andreas","1988","AfD","Land Rheinland-Pfalz (Platz 3)","Wahlkreis 197"
"Bochmann, René","1969","AfD","Wahlkreis 151 (27,8 %)","Land Sachsen (Platz 15)"
"Bodtke, Ingo","1965","FDP","Land Sachsen-Anhalt (Platz 2)","Wahlkreis 074"
"Boehringer, Peter Christian Pascal","1969","AfD","Land Bayern (Platz 1)","Wahlkreis 232"
"Boginski, Friedhelm Günter","1955","FDP","Land Brandenburg (Platz 2)","Wahlkreis 057"
"Bollmann, Gereon","1953","AfD","Land Schleswig-Holstein (Platz 2)","Wahlkreis 004"
"Borchardt, Simone","1967","CDU","Land Mecklenburg-Vorpommern (Platz 3)","Wahlkreis 013"
"Brand, Michael Karl","1973","CDU","Wahlkreis 174 (38,1 %)","Land Hessen (Platz 4)"
"Dr. Brandenburg, Jens","1986","FDP","Land Baden-Württemberg (Platz 8)","Wahlkreis 277"
"Brandenburg, Mario","1983","FDP","Land Rheinland-Pfalz (Platz 3)",""
"Brandes, Dirk","1974","AfD","Land Niedersachsen (Platz 6)","Wahlkreis 047"
"Dr. Brandl, Reinhard","1977","CSU","Wahlkreis 216 (44,9 %)",""
"Brandner, Stephan Günther","1966","AfD","Wahlkreis 194 (29,0 %)","Land Thüringen (Platz 1)"
"Dr. Brantner, Franziska Katharina","1979","GRÜNE","Wahlkreis 274 (30,2 %)","Land Baden-Württemberg (Platz 1)"
"Dr. Braun, Helge Reinhold","1972","CDU","Land Hessen (Platz 1)","Wahlkreis 173"
"Braun, Jürgen Friedrich","1961","AfD","Land Baden-Württemberg (Platz 10)","Wahlkreis 264"
"Breher, Silvia Maria","1973","CDU","Wahlkreis 032 (49,1 %)","Land Niedersachsen (Platz 30)"
"Brehm, Sebastian","1971","CSU","Wahlkreis 244 (28,5 %)","Land Bayern (Platz 15)"
"Brehmer, Heike Martina","1962","CDU","Wahlkreis 068 (27,7 %)","Land Sachsen-Anhalt (Platz 1)"
"Breilmann, Michael","1983","CDU","Land Nordrhein-Westfalen (Platz 16)","Wahlkreis 121"
"Breymaier, Leni","1960","SPD","Land Baden-Württemberg (Platz 7)","Wahlkreis 270"
"Brinkhaus, Ralph","1968","CDU","Wahlkreis 131 (40,0 %)","Land Nordrhein-Westfalen (Platz 3)"
"Dr. Brodesser, Carsten","1967","CDU","Wahlkreis 099 (33,9 %)","Land Nordrhein-Westfalen (Platz 38)"
"Dr. Bröhr, Marlon","1974","CDU","Wahlkreis 200 (34,3 %)","Land Rheinland-Pfalz (Platz 14)"
"Brugger, Agnes Monika","1985","GRÜNE","Land Baden-Württemberg (Platz 3)","Wahlkreis 294"
"Bsirske, Frank","1952","GRÜNE","Land Niedersachsen (Platz 6)","Wahlkreis 051"
"Bubendorfer-Licht, Sandra","1969","FDP","Land Bayern (Platz 9)","Wahlkreis 212"
"Buchholz, Christine","1971","DIE LINKE","Land Hessen (Platz 3)","Wahlkreis 185"
"Budde, Katrin","1965","SPD","Land Sachsen-Anhalt (Platz 2)","Wahlkreis 074"
"Bühl, Marcus","1977","AfD","Wahlkreis 192 (26,5 %)","Land Thüringen (Platz 5)"
"Bury, Yannick","1990","CDU","Wahlkreis 283 (27,8 %)",""
"Dr. Buschmann, Marco","1977","FDP","Land Nordrhein-Westfalen (Platz 4)","Wahlkreis 123"
"Busen, Karlheinz","1951","FDP","Land Nordrhein-Westfalen (Platz 11)","Wahlkreis 126"
"Bystron, Petr","1972","AfD","Land Bayern (Platz 4)","Wahlkreis 217"
