"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Zeulner, Emmi","1987","CSU","Wahlkreis 240 (47,8 %)","Land Bayern (Platz 10)"
"Ziegler, Kay-Uwe","1963","AfD","Wahlkreis 071 (24,2 %)",""
"Ziemiak, Paul","1985","CDU","Wahlkreis 150 (33,6 %)","Land Nordrhein-Westfalen (Platz 6)"
"Zierke, Stefan","1970","SPD","Wahlkreis 057 (29,6 %)","Land Brandenburg (Platz 3)"
"Dr. Zimmermann, Jens","1981","SPD","Wahlkreis 187 (32,3 %)","Land Hessen (Platz 7)"
"Zippelius, Nicolas Benjamin","1987","CDU","Wahlkreis 272 (30,4 %)",""
"Zorn, Armand","1988","SPD","Wahlkreis 182 (29,0 %)","Land Hessen (Platz 23)"
"Zschau, Katrin","1976","SPD","Wahlkreis 014 (27,0 %)","Land Mecklenburg-Vorpommern (Platz 4)"
